Rank,Team,GM,W-L,OPP PTS,OPP PPG
107,Texas A&M (SEC) ,31,20-11 ,2163,69.8
108,Duquesne (Atlantic 10) ,31,16-15 ,2164,69.8
109,Miami (OH) (MAC) ,32,16-16 ,2236,69.9
110,UC Santa Barbara (Big West) ,30,22-8 ,2097,69.9
110,Temple (AAC) ,30,16-14 ,2097,69.9
112,Wofford (SoCon) ,33,21-12 ,2307,69.9
113,Coastal Caro. (Sun Belt) ,32,14-18 ,2241,70
114,Little Rock (Sun Belt) ,32,7-25 ,2242,70.1
115,Fla. Atlantic (C-USA) ,31,12-19 ,2172,70.1
115,N.C. Central (MEAC) ,31,16-15 ,2172,70.1
117,Colgate (Patriot) ,32,19-13 ,2243,70.1
118,Manhattan (MAAC) ,31,14-17 ,2175,70.2
119,Indiana (Big Ten) ,31,16-15 ,2178,70.3
120,George Washington (Atlantic 10) ,32,15-17 ,2249,70.3
120,Stony Brook (America East) ,32,13-19 ,2249,70.3
122,Fordham (Atlantic 10) ,31,9-22 ,2179,70.3
123,Louisville (ACC) ,32,20-12 ,2251,70.3
124,Binghamton (America East) ,31,11-20 ,2181,70.4
124,South Fla. (AAC) ,31,10-21 ,2181,70.4
126,St. Bonaventure (Atlantic 10) ,30,24-6 ,2113,70.4
127,Weber St. (Big Sky) ,30,20-10 ,2115,70.5
128,Ga. Southern (Sun Belt) ,31,20-11 ,2187,70.5
129,Campbell (Big South) ,31,16-15 ,2191,70.7
130,Robert Morris (NEC) ,33,16-17 ,2334,70.7
131,North Dakota St. (Summit League) ,32,15-17 ,2264,70.8
132,Oregon St. (Pac-12) ,30,15-15 ,2124,70.8
133,Canisius (MAAC) ,32,21-11 ,2266,70.8
134,Wichita St. (AAC) ,30,24-6 ,2125,70.8
135,UTEP (C-USA) ,31,11-20 ,2197,70.9
136,Western Ky. (C-USA) ,31,22-9 ,2198,70.9
137,Louisiana Tech (C-USA) ,32,17-15 ,2269,70.9
138,A&M-Corpus Christi (Southland) ,29,11-18 ,2057,70.9
139,Abilene Christian (Southland) ,31,16-15 ,2199,70.9
139,Louisiana (Sun Belt) ,31,26-5 ,2199,70.9
141,Tulsa (AAC) ,30,19-11 ,2130,71
142,Presbyterian (Big South) ,32,11-21 ,2273,71
143,Cal St. Fullerton (Big West) ,28,17-11 ,1990,71.1
144,Kansas (Big 12) ,31,24-7 ,2205,71.1
145,Villanova (Big East) ,31,27-4 ,2206,71.2
145,Kentucky (SEC) ,31,21-10 ,2206,71.2
147,FIU (C-USA) ,32,14-18 ,2278,71.2
148,Towson (CAA) ,32,18-14 ,2279,71.2
148,Oregon (Pac-12) ,32,21-11 ,2279,71.2
150,Eastern Wash. (Big Sky) ,31,18-13 ,2209,71.3
150,Memphis (AAC) ,31,19-12 ,2209,71.3
150,Southern California (Pac-12) ,31,21-10 ,2209,71.3
153,North Texas (C-USA) ,32,15-17 ,2287,71.5
154,Winthrop (Big South) ,31,19-12 ,2219,71.6
155,FGCU (ASUN) ,34,23-11 ,2435,71.6
156,Ark.-Pine Bluff (SWAC) ,32,13-20 ,2292,71.6
157,Santa Clara (WCC) ,31,11-20 ,2224,71.7
158,Western Ill. (Summit League) ,28,12-16 ,2009,71.8
158,Virginia Tech (ACC) ,32,21-11 ,2296,71.8
158,Southern Miss. (C-USA) ,32,15-17 ,2296,71.8
161,Arizona (Pac-12) ,31,24-7 ,2225,71.8
162,Austin Peay (OVC) ,32,18-14 ,2297,71.8
163,Boston U. (Patriot) ,31,15-16 ,2226,71.8
164,Southern U. (SWAC) ,32,15-17 ,2298,71.8
165,Princeton (Ivy League) ,29,13-16 ,2083,71.8
166,Central Conn. St. (NEC) ,32,14-18 ,2300,71.9
167,Mt. St. Mary's (NEC) ,32,18-14 ,2301,71.9
168,Seattle U (WAC) ,31,19-12 ,2232,72
169,Central Mich. (MAC) ,32,19-13 ,2305,72
170,Gardner-Webb (Big South) ,32,14-18 ,2307,72.1
171,Utah St. (MWC) ,32,16-16 ,2308,72.1
172,St. John's (NY) (Big East) ,32,16-16 ,2309,72.2
173,Sacred Heart (NEC) ,31,10-21 ,2237,72.2
174,Butler (Big East) ,31,19-12 ,2241,72.3
175,Nevada (MWC) ,32,26-6 ,2314,72.3
176,Tennessee Tech (OVC) ,33,19-14 ,2388,72.4
177,Pittsburgh (ACC) ,32,8-24 ,2316,72.4
177,Pacific (WCC) ,32,14-18 ,2316,72.4
179,Air Force (MWC) ,31,12-19 ,2244,72.4
180,Saint Joseph's (Atlantic 10) ,30,15-15 ,2172,72.4
181,UNC Asheville (Big South) ,33,21-12 ,2396,72.6
182,IUPUI (Horizon) ,30,11-19 ,2180,72.7
183,UT Martin (OVC) ,31,10-21 ,2253,72.7
183,Indiana St. (MVC) ,31,13-18 ,2253,72.7
185,Washington (Pac-12) ,31,20-11 ,2254,72.7
185,Colorado (Pac-12) ,31,17-14 ,2254,72.7
187,Providence (Big East) ,31,19-12 ,2255,72.7
188,Northern Colo. (Big Sky) ,32,21-11 ,2328,72.8
188,Ill.-Chicago (Horizon) ,32,17-15 ,2328,72.8
190,Oklahoma St. (Big 12) ,32,19-13 ,2330,72.8
191,Bucknell (Patriot) ,34,25-9 ,2477,72.9
192,Morgan St. (MEAC) ,31,13-18 ,2259,72.9
193,UConn (AAC) ,31,14-17 ,2260,72.9
194,Dartmouth (Ivy League) ,27,7-20 ,1970,73
195,Denver (Summit League) ,30,15-15 ,2189,73
196,Troy (Sun Belt) ,32,16-16 ,2335,73
197,Auburn (SEC) ,31,25-6 ,2265,73.1
198,Drake (MVC) ,32,16-16 ,2341,73.2
199,NJIT (ASUN) ,30,14-16 ,2197,73.2
200,Seton Hall (Big East) ,31,21-10 ,2271,73.3
201,Illinois St. (MVC) ,33,18-15 ,2418,73.3
202,Dayton (Atlantic 10) ,30,14-16 ,2200,73.3
203,Norfolk St. (MEAC) ,32,14-18 ,2347,73.3
204,Western Mich. (MAC) ,32,17-15 ,2349,73.4
205,Chattanooga (SoCon) ,33,10-23 ,2424,73.5
206,Kent St. (MAC) ,32,16-16 ,2351,73.5
207,CSUN (Big West) ,30,6-24 ,2206,73.5
