Rank,Team,GM,W-L,Opp TO,TO,Ratio
103,Tennessee St. (OVC) ,30,15-15 ,473,442,1
104,Wyoming (MWC) ,33,20-13 ,483,449,1
104,Robert Morris (NEC) ,33,16-17 ,524,490,1
104,Oklahoma St. (Big 12) ,33,19-14 ,474,440,1
107,BYU (WCC) ,34,24-10 ,428,393,1
108,Ole Miss (SEC) ,32,12-20 ,397,365,1
108,Wisconsin (Big Ten) ,33,15-18 ,386,353,1
108,Indiana (Big Ten) ,31,16-15 ,417,386,1
111,Gonzaga (WCC) ,34,30-4 ,417,384,1
112,UC Santa Barbara (Big West) ,31,23-8 ,356,326,1
113,Stony Brook (America East) ,32,13-19 ,478,448,0.9
114,Houston (AAC) ,30,24-6 ,402,374,0.9
115,Davidson (Atlantic 10) ,29,18-11 ,311,284,0.9
116,Brown (Ivy League) ,27,11-16 ,389,364,0.9
117,Loyola Chicago (MVC) ,33,28-5 ,434,404,0.9
117,Central Ark. (Southland) ,33,17-16 ,484,454,0.9
119,Northwestern (Big Ten) ,32,15-17 ,403,374,0.9
119,Providence (Big East) ,32,20-12 ,435,406,0.9
121,Cleveland St. (Horizon) ,35,12-23 ,490,459,0.9
122,Hofstra (CAA) ,31,19-12 ,362,335,0.9
123,Pacific (WCC) ,32,14-18 ,395,368,0.8
124,Murray St. (OVC) ,31,26-5 ,394,368,0.8
125,Texas (Big 12) ,33,19-14 ,418,391,0.8
126,Fairleigh Dickinson (NEC) ,31,13-18 ,451,426,0.8
127,Army West Point (Patriot) ,30,13-17 ,427,403,0.8
127,Penn (Ivy League) ,30,22-8 ,380,356,0.8
129,Radford (Big South) ,34,22-12 ,441,414,0.8
130,Wofford (SoCon) ,33,21-12 ,430,404,0.8
131,Montana St. (Big Sky) ,32,13-19 ,425,400,0.8
132,Morgan St. (MEAC) ,31,13-18 ,445,421,0.8
133,Northern Colo. (Big Sky) ,33,22-11 ,430,405,0.8
133,Southern Ill. (MVC) ,33,20-13 ,445,420,0.8
