Rank,Team,GM,W-L,Orebs,Drebs,REB
106,DePaul (Big East) ,31,11-20 ,383,777,1160
107,North Florida (ASUN) ,33,14-19 ,312,847,1159
108,Texas Southern (SWAC) ,32,13-19 ,335,823,1158
108,UMBC (America East) ,33,23-10 ,333,825,1158
110,Furman (SoCon) ,33,23-10 ,317,840,1157
111,Sam Houston St. (Southland) ,31,18-13 ,372,784,1156
112,Nicholls St. (Southland) ,31,21-10 ,341,814,1155
112,Long Beach St. (Big West) ,32,15-17 ,365,790,1155
112,Boise St. (MWC) ,30,23-7 ,297,858,1155
115,Howard (MEAC) ,33,10-23 ,372,782,1154
116,Texas (Big 12) ,32,19-13 ,339,814,1153
117,Stony Brook (America East) ,32,13-19 ,367,785,1152
118,Georgetown (Big East) ,30,15-15 ,327,824,1151
118,Fairfield (MAAC) ,33,17-16 ,299,852,1151
120,Murray St. (OVC) ,31,26-5 ,327,823,1150
120,Delaware (CAA) ,33,14-19 ,314,836,1150
120,FIU (C-USA) ,32,14-18 ,319,831,1150
123,Maryland (Big Ten) ,32,19-13 ,305,844,1149
124,James Madison (CAA) ,32,10-22 ,361,786,1147
125,Siena (MAAC) ,32,8-24 ,354,792,1146
125,Milwaukee (Horizon) ,33,16-17 ,291,855,1146
127,Missouri (SEC) ,31,20-11 ,314,831,1145
128,Tulsa (AAC) ,30,19-11 ,331,812,1143
129,NC State (ACC) ,32,21-11 ,390,752,1142
129,Gardner-Webb (Big South) ,32,14-18 ,300,842,1142
129,San Francisco (WCC) ,33,18-15 ,336,806,1142
129,Quinnipiac (MAAC) ,33,12-21 ,330,812,1142
133,Utah Valley (WAC) ,30,21-9 ,315,826,1141
133,Prairie View (SWAC) ,33,16-17 ,388,753,1141
133,Old Dominion (C-USA) ,30,24-6 ,355,786,1141
133,N.C. A&T (MEAC) ,32,19-13 ,322,819,1141
137,Toledo (MAC) ,31,21-10 ,286,854,1140
137,Elon (CAA) ,32,14-18 ,258,882,1140
137,Rice (C-USA) ,31,7-24 ,327,813,1140
140,Mississippi Val. (SWAC) ,32,4-28 ,395,743,1138
140,Liberty (Big South) ,34,20-14 ,248,890,1138
