Rank,Team,GM,W-L,FTM,FTA,FT%
104,Louisville (ACC) ,32,20-12 ,452,617,73.3
104,Northeastern (CAA) ,33,23-10 ,452,617,73.3
106,Tulsa (AAC) ,30,19-11 ,506,691,73.2
107,Cornell (Ivy League) ,27,12-15 ,410,560,73.2
108,Illinois (Big Ten) ,32,14-18 ,478,653,73.2
109,Bowling Green (MAC) ,32,16-16 ,534,730,73.2
110,Murray St. (OVC) ,31,26-5 ,485,664,73
110,Cal St. Fullerton (Big West) ,28,17-11 ,485,664,73
112,Ole Miss (SEC) ,32,12-20 ,493,675,73
113,Southeast Mo. St. (OVC) ,31,14-17 ,474,650,72.9
114,Niagara (MAAC) ,32,19-13 ,578,793,72.9
115,Pacific (WCC) ,32,14-18 ,521,715,72.9
116,James Madison (CAA) ,32,10-22 ,486,667,72.9
117,South Fla. (AAC) ,31,10-21 ,389,534,72.8
118,Dayton (Atlantic 10) ,30,14-16 ,375,515,72.8
119,Montana St. (Big Sky) ,32,13-19 ,543,746,72.8
120,Ill.-Chicago (Horizon) ,32,17-15 ,506,696,72.7
121,Louisiana Tech (C-USA) ,32,17-15 ,503,692,72.7
122,Western Mich. (MAC) ,32,17-15 ,479,659,72.7
123,Northern Ill. (MAC) ,32,13-19 ,452,622,72.7
124,Ohio St. (Big Ten) ,32,24-8 ,422,581,72.6
125,Saint Peter's (MAAC) ,32,14-18 ,350,482,72.6
126,USC Upstate (ASUN) ,32,7-25 ,334,460,72.6
127,Fairleigh Dickinson (NEC) ,31,13-18 ,416,573,72.6
128,Long Beach St. (Big West) ,32,15-17 ,532,733,72.6
129,Colorado (Pac-12) ,31,17-14 ,428,590,72.5
130,UT Martin (OVC) ,31,10-21 ,309,426,72.5
131,Santa Clara (WCC) ,31,11-20 ,380,524,72.5
132,Southern California (Pac-12) ,31,21-10 ,409,564,72.5
133,Florida A&M (MEAC) ,34,9-25 ,464,641,72.4
134,Loyola Chicago (MVC) ,33,28-5 ,406,561,72.4
135,Morgan St. (MEAC) ,31,13-18 ,520,719,72.3
136,Radford (Big South) ,34,22-12 ,423,585,72.3
137,Drexel (CAA) ,33,13-20 ,467,646,72.3
138,Charleston So. (Big South) ,31,15-16 ,420,581,72.3
139,Gonzaga (WCC) ,34,30-4 ,466,645,72.2
140,UCLA (Pac-12) ,30,20-10 ,492,681,72.2
141,Winthrop (Big South) ,31,19-12 ,450,623,72.2
142,Yale (Ivy League) ,30,16-14 ,388,538,72.1
143,Coastal Caro. (Sun Belt) ,32,14-18 ,506,702,72.1
144,UNI (MVC) ,32,16-16 ,387,537,72.1
145,Florida (SEC) ,31,20-11 ,451,626,72
146,Navy (Patriot) ,32,20-12 ,451,627,71.9
147,San Diego St. (MWC) ,29,19-10 ,417,580,71.9
148,Gardner-Webb (Big South) ,32,14-18 ,378,526,71.9
149,Chicago St. (WAC) ,31,3-28 ,431,600,71.8
150,Fort Wayne (Summit League) ,32,18-14 ,459,639,71.8
151,Arkansas St. (Sun Belt) ,32,11-21 ,451,628,71.8
152,Bucknell (Patriot) ,34,25-9 ,606,844,71.8
153,UC Davis (Big West) ,30,21-9 ,470,655,71.8
154,Colorado St. (MWC) ,32,11-21 ,467,651,71.7
155,Nebraska (Big Ten) ,32,22-10 ,507,707,71.7
156,Wright St. (Horizon) ,34,25-9 ,512,714,71.7
157,Richmond (Atlantic 10) ,30,11-19 ,352,491,71.7
158,A&M-Corpus Christi (Southland) ,29,11-18 ,432,603,71.6
159,Rhode Island (Atlantic 10) ,29,23-6 ,386,539,71.6
160,Charlotte (C-USA) ,29,6-23 ,456,637,71.6
161,N.C. A&T (MEAC) ,32,19-13 ,503,703,71.6
162,Missouri St. (MVC) ,33,18-15 ,377,527,71.5
163,Lipscomb (ASUN) ,32,23-9 ,580,811,71.5
163,Texas Southern (SWAC) ,32,13-19 ,580,811,71.5
165,Nicholls St. (Southland) ,31,21-10 ,474,663,71.5
166,Western Ill. (Summit League) ,28,12-16 ,326,456,71.5
167,Tulane (AAC) ,30,14-16 ,426,596,71.5
168,Marist (MAAC) ,31,6-25 ,437,612,71.4
169,Dartmouth (Ivy League) ,27,7-20 ,339,475,71.4
170,La.-Monroe (Sun Belt) ,30,16-14 ,309,433,71.4
171,Houston (AAC) ,30,24-6 ,403,565,71.3
172,Furman (SoCon) ,33,23-10 ,397,557,71.3
173,Georgia Tech (ACC) ,32,13-19 ,439,616,71.3
