Rank,Team,GM,W-L,3FG,3FGA,3FG%
104,Old Dominion (C-USA) ,30,24-6 ,221,607,36.4
105,South Dakota (Summit League) ,34,26-8 ,237,651,36.4
106,Arizona St. (Pac-12) ,31,20-11 ,277,761,36.4
107,Col. of Charleston (CAA) ,33,26-7 ,254,698,36.4
108,Utah (Pac-12) ,29,19-10 ,266,731,36.4
109,Middle Tenn. (C-USA) ,30,24-6 ,215,592,36.3
110,FGCU (ASUN) ,34,23-11 ,244,672,36.3
111,UTSA (C-USA) ,32,19-13 ,327,901,36.3
112,Green Bay (Horizon) ,33,13-20 ,295,813,36.3
113,Oklahoma (Big 12) ,31,18-13 ,296,816,36.3
114,UT Arlington (Sun Belt) ,31,19-12 ,273,753,36.3
115,Boston College (ACC) ,33,19-14 ,282,779,36.2
116,Colorado (Pac-12) ,31,17-14 ,236,652,36.2
117,CSUN (Big West) ,30,6-24 ,186,514,36.2
118,Cal Poly (Big West) ,30,9-21 ,264,730,36.2
119,Colgate (Patriot) ,32,19-13 ,299,827,36.2
120,Towson (CAA) ,32,18-14 ,210,581,36.1
121,NJIT (ASUN) ,30,14-16 ,236,653,36.1
122,Rider (MAAC) ,31,22-9 ,237,656,36.1
123,Central Ark. (Southland) ,32,17-15 ,265,734,36.1
124,Western Ky. (C-USA) ,31,22-9 ,172,477,36.1
125,Utah St. (MWC) ,32,16-16 ,296,821,36.1
126,Indiana St. (MVC) ,31,13-18 ,270,749,36
127,Butler (Big East) ,31,19-12 ,257,713,36
128,Seton Hall (Big East) ,31,21-10 ,224,622,36
129,Norfolk St. (MEAC) ,32,14-18 ,248,689,36
130,Texas Tech (Big 12) ,31,23-8 ,217,603,36
131,South Fla. (AAC) ,31,10-21 ,200,556,36
132,Dartmouth (Ivy League) ,27,7-20 ,200,557,35.9
133,UNCG (SoCon) ,34,27-7 ,328,915,35.8
134,Akron (MAC) ,31,14-17 ,296,826,35.8
135,Iowa St. (Big 12) ,31,13-18 ,234,653,35.8
136,Nicholls St. (Southland) ,31,21-10 ,253,707,35.8
137,Presbyterian (Big South) ,32,11-21 ,276,772,35.8
138,High Point (Big South) ,30,14-16 ,163,456,35.7
139,Eastern Ill. (OVC) ,31,12-19 ,224,627,35.7
140,Southeastern La. (Southland) ,31,21-10 ,232,650,35.7
141,San Diego (WCC) ,31,18-13 ,259,726,35.7
142,Western Ill. (Summit League) ,28,12-16 ,188,527,35.7
143,Baylor (Big 12) ,31,18-13 ,198,556,35.6
144,Southern Ill. (MVC) ,33,20-13 ,215,604,35.6
145,Wagner (NEC) ,32,23-9 ,263,739,35.6
146,Furman (SoCon) ,33,23-10 ,338,950,35.6
147,Texas Southern (SWAC) ,32,13-19 ,244,686,35.6
148,Chattanooga (SoCon) ,33,10-23 ,276,776,35.6
149,IUPUI (Horizon) ,30,11-19 ,213,600,35.5
150,VCU (Atlantic 10) ,31,17-14 ,259,730,35.5
151,Sacramento St. (Big Sky) ,32,7-25 ,202,570,35.4
152,Eastern Ky. (OVC) ,31,11-20 ,226,638,35.4
153,Oregon (Pac-12) ,32,21-11 ,289,816,35.4
153,Northwestern (Big Ten) ,32,15-17 ,255,720,35.4
155,Bradley (MVC) ,33,20-13 ,217,613,35.4
156,Tulsa (AAC) ,30,19-11 ,245,694,35.3
157,Ohio St. (Big Ten) ,32,24-8 ,216,612,35.3
158,Vanderbilt (SEC) ,32,12-20 ,289,819,35.3
159,LSU (SEC) ,30,17-13 ,245,695,35.3
160,Florida A&M (MEAC) ,34,9-25 ,217,616,35.2
161,New Orleans (Southland) ,30,15-15 ,143,406,35.2
162,BYU (WCC) ,34,24-10 ,219,622,35.2
163,Charlotte (C-USA) ,29,6-23 ,198,563,35.2
164,Oakland (Horizon) ,33,19-14 ,275,782,35.2
165,Montana St. (Big Sky) ,32,13-19 ,257,731,35.2
166,Canisius (MAAC) ,32,21-11 ,297,845,35.1
167,Florida St. (ACC) ,31,20-11 ,248,706,35.1
168,North Texas (C-USA) ,32,15-17 ,250,712,35.1
169,Kansas St. (Big 12) ,31,21-10 ,224,638,35.1
170,Duquesne (Atlantic 10) ,31,16-15 ,254,725,35
171,Southern Utah (Big Sky) ,30,12-18 ,235,671,35
171,Binghamton (America East) ,31,11-20 ,235,671,35
173,Radford (Big South) ,34,22-12 ,263,752,35
174,Oklahoma St. (Big 12) ,32,19-13 ,266,761,35
175,Bowling Green (MAC) ,32,16-16 ,241,690,34.9
176,Marshall (C-USA) ,31,21-10 ,308,882,34.9
177,Marist (MAAC) ,31,6-25 ,280,802,34.9
178,Gardner-Webb (Big South) ,32,14-18 ,236,676,34.9
179,West Virginia (Big 12) ,31,22-9 ,273,782,34.9
180,Austin Peay (OVC) ,32,18-14 ,193,553,34.9
181,Elon (CAA) ,32,14-18 ,337,966,34.9
182,Nebraska (Big Ten) ,32,22-10 ,226,648,34.9
183,Long Beach St. (Big West) ,32,15-17 ,191,548,34.9
184,Kentucky (SEC) ,31,21-10 ,161,462,34.8
185,Loyola Marymount (WCC) ,31,11-20 ,200,574,34.8
186,Harvard (Ivy League) ,29,17-12 ,232,666,34.8
187,Penn (Ivy League) ,30,22-8 ,265,761,34.8
188,Tulane (AAC) ,30,14-16 ,224,644,34.8
189,McNeese (Southland) ,28,11-17 ,202,581,34.8
190,Northern Ky. (Horizon) ,31,22-9 ,253,728,34.8
191,Tennessee Tech (OVC) ,33,19-14 ,242,697,34.7
192,UAB (C-USA) ,32,20-12 ,217,625,34.7
193,Howard (MEAC) ,33,10-23 ,268,772,34.7
194,Northern Colo. (Big Sky) ,32,21-11 ,277,799,34.7
195,Ga. Southern (Sun Belt) ,31,20-11 ,258,745,34.6
196,UMass Lowell (America East) ,30,12-18 ,215,621,34.6
197,St. Francis Brooklyn (NEC) ,31,13-18 ,271,783,34.6
198,UNCW (CAA) ,32,11-21 ,244,705,34.6
199,Minnesota (Big Ten) ,32,15-17 ,218,630,34.6
200,Providence (Big East) ,31,19-12 ,203,587,34.6
201,Wyoming (MWC) ,32,20-12 ,295,855,34.5
202,Appalachian St. (Sun Belt) ,32,15-17 ,289,838,34.5
203,Detroit Mercy (Horizon) ,32,8-24 ,281,815,34.5
204,LIU Brooklyn (NEC) ,34,18-16 ,272,789,34.5
205,Temple (AAC) ,30,16-14 ,245,711,34.5
206,USC Upstate (ASUN) ,32,7-25 ,328,952,34.5
207,Stetson (ASUN) ,32,12-20 ,250,726,34.4
208,Ill.-Chicago (Horizon) ,32,17-15 ,211,613,34.4
209,Portland St. (Big Sky) ,32,20-12 ,290,843,34.4
210,Cal St. Fullerton (Big West) ,28,17-11 ,153,445,34.4
211,Western Mich. (MAC) ,32,17-15 ,233,678,34.4
212,Lamar University (Southland) ,32,19-13 ,249,725,34.3
213,Washington (Pac-12) ,31,20-11 ,207,603,34.3
214,N.C. Central (MEAC) ,31,16-15 ,196,571,34.3
215,ETSU (SoCon) ,34,25-9 ,244,711,34.3
216,Pepperdine (WCC) ,32,6-26 ,186,542,34.3
217,Bucknell (Patriot) ,34,25-9 ,269,784,34.3
218,Bryant (NEC) ,31,3-28 ,259,755,34.3
219,Alcorn (SWAC) ,32,11-21 ,239,697,34.3
220,Troy (Sun Belt) ,32,16-16 ,287,837,34.3
221,Oral Roberts (Summit League) ,32,11-21 ,220,642,34.3
222,Hartford (America East) ,32,19-13 ,261,763,34.2
223,Valparaiso (MVC) ,32,15-17 ,213,623,34.2
223,Fairleigh Dickinson (NEC) ,31,13-18 ,213,623,34.2
225,Wright St. (Horizon) ,34,25-9 ,233,682,34.2
226,Southern U. (SWAC) ,32,15-17 ,174,510,34.1
227,San Diego St. (MWC) ,29,19-10 ,219,642,34.1
228,A&M-Corpus Christi (Southland) ,29,11-18 ,149,437,34.1
229,Illinois St. (MVC) ,33,18-15 ,301,883,34.1
230,The Citadel (SoCon) ,32,11-21 ,386,1133,34.1
231,Cleveland St. (Horizon) ,35,12-23 ,294,863,34.1
232,Santa Clara (WCC) ,31,11-20 ,232,682,34
233,Central Mich. (MAC) ,32,19-13 ,306,900,34
234,Ball St. (MAC) ,31,19-12 ,239,703,34
235,Dayton (Atlantic 10) ,30,14-16 ,243,715,34
236,South Carolina (SEC) ,32,17-15 ,232,683,34
237,Arkansas St. (Sun Belt) ,32,11-21 ,236,695,34
238,Quinnipiac (MAAC) ,33,12-21 ,303,893,33.9
238,Fairfield (MAAC) ,33,17-16 ,303,893,33.9
240,Cornell (Ivy League) ,27,12-15 ,211,622,33.9
241,Miami (OH) (MAC) ,32,16-16 ,279,823,33.9
242,UC Irvine (Big West) ,32,16-16 ,207,612,33.8
243,Rhode Island (Atlantic 10) ,29,23-6 ,185,547,33.8
244,Saint Peter's (MAAC) ,32,14-18 ,253,750,33.7
245,American (Patriot) ,30,6-24 ,239,709,33.7
246,Morgan St. (MEAC) ,31,13-18 ,155,460,33.7
247,North Dakota (Big Sky) ,31,12-19 ,222,659,33.7
