Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
338,California (Pac-12) ,31,8-23 ,2108,68,2407,77.6,-9.6
339,Alabama St. (SWAC) ,31,8-23 ,2129,68.7,2437,78.6,-9.9
340,Florida A&M (MEAC) ,34,9-25 ,2343,68.9,2684,78.9,-10
341,Pittsburgh (ACC) ,32,8-24 ,1985,62,2316,72.4,-10.3
342,Longwood (Big South) ,33,7-26 ,2088,63.3,2445,74.1,-10.8
343,Northern Ariz. (Big Sky) ,32,5-27 ,2100,65.6,2512,78.5,-12.9
344,Mississippi Val. (SWAC) ,32,4-28 ,2075,64.8,2500,78.1,-13.3
344,Delaware St. (MEAC) ,32,4-28 ,2034,63.6,2459,76.8,-13.3
346,Bryant (NEC) ,31,3-28 ,2169,70,2582,83.3,-13.3
347,Northwestern St. (Southland) ,29,4-25 ,1868,64.4,2264,78.1,-13.7
348,Coppin St. (MEAC) ,32,5-27 ,1945,60.8,2384,74.5,-13.7
349,UMES (MEAC) ,32,7-25 ,1992,62.3,2473,77.3,-15
350,Alabama A&M (SWAC) ,31,3-28 ,1873,60.4,2367,76.4,-15.9
351,Chicago St. (WAC) ,31,3-28 ,2101,67.8,2659,85.8,-18
