Rank,Team,GM,W-L,Orebs,RPG
110,Tulsa (AAC) ,30,19-11 ,331,11.03
110,NJIT (ASUN) ,30,14-16 ,331,11.03
112,Southeastern La. (Southland) ,31,21-10 ,342,11.03
113,Hofstra (CAA) ,31,19-12 ,341,11
113,Texas Tech (Big 12) ,31,23-8 ,341,11
113,Nicholls St. (Southland) ,31,21-10 ,341,11
116,Fairleigh Dickinson (NEC) ,31,13-18 ,339,10.94
117,Iowa St. (Big 12) ,31,13-18 ,338,10.9
118,Middle Tenn. (C-USA) ,30,24-6 ,327,10.9
118,Georgetown (Big East) ,30,15-15 ,327,10.9
120,Bradley (MVC) ,33,20-13 ,359,10.88
121,UMES (MEAC) ,32,7-25 ,348,10.88
121,Hampton (MEAC) ,32,18-14 ,348,10.88
123,Stanford (Pac-12) ,31,17-14 ,337,10.87
123,Wake Forest (ACC) ,31,11-20 ,337,10.87
123,Florida (SEC) ,31,20-11 ,337,10.87
126,Penn St. (Big Ten) ,34,21-13 ,368,10.82
127,Navy (Patriot) ,32,20-12 ,346,10.81
128,Alabama A&M (SWAC) ,31,3-28 ,335,10.81
129,High Point (Big South) ,30,14-16 ,324,10.8
129,SIUE (OVC) ,30,9-21 ,324,10.8
131,Nebraska (Big Ten) ,32,22-10 ,345,10.78
132,Eastern Ill. (OVC) ,31,12-19 ,332,10.71
132,Mississippi St. (SEC) ,31,21-10 ,332,10.71
132,Loyola Maryland (Patriot) ,31,9-22 ,332,10.71
135,LIU Brooklyn (NEC) ,34,18-16 ,364,10.71
136,Seattle U (WAC) ,31,19-12 ,331,10.68
137,Temple (AAC) ,30,16-14 ,319,10.63
138,Delaware St. (MEAC) ,32,4-28 ,340,10.63
138,Lipscomb (ASUN) ,32,23-9 ,340,10.63
140,FGCU (ASUN) ,34,23-11 ,361,10.62
141,Texas (Big 12) ,32,19-13 ,339,10.59
142,St. Francis Brooklyn (NEC) ,31,13-18 ,328,10.58
142,VCU (Atlantic 10) ,31,17-14 ,328,10.58
142,Providence (Big East) ,31,19-12 ,328,10.58
145,Boston College (ACC) ,33,19-14 ,349,10.58
146,Murray St. (OVC) ,31,26-5 ,327,10.55
146,Rice (C-USA) ,31,7-24 ,327,10.55
148,Detroit Mercy (Horizon) ,32,8-24 ,337,10.53
148,USC Upstate (ASUN) ,32,7-25 ,337,10.53
150,Ill.-Chicago (Horizon) ,32,17-15 ,336,10.5
150,George Washington (Atlantic 10) ,32,15-17 ,336,10.5
150,Utah Valley (WAC) ,30,21-9 ,315,10.5
153,Texas Southern (SWAC) ,32,13-19 ,335,10.47
154,Notre Dame (ACC) ,33,20-13 ,345,10.45
155,Oregon (Pac-12) ,32,21-11 ,334,10.44
155,Georgia Tech (ACC) ,32,13-19 ,334,10.44
157,UCLA (Pac-12) ,30,20-10 ,313,10.43
158,UConn (AAC) ,31,14-17 ,322,10.39
158,Oklahoma (Big 12) ,31,18-13 ,322,10.39
158,Indiana St. (MVC) ,31,13-18 ,322,10.39
161,Pacific (WCC) ,32,14-18 ,332,10.38
162,St. Bonaventure (Atlantic 10) ,30,24-6 ,311,10.37
162,Denver (Summit League) ,30,15-15 ,311,10.37
164,ETSU (SoCon) ,34,25-9 ,352,10.35
165,Oregon St. (Pac-12) ,30,15-15 ,310,10.33
166,Colorado (Pac-12) ,31,17-14 ,320,10.32
167,Manhattan (MAAC) ,31,14-17 ,319,10.29
168,Columbia (Ivy League) ,27,8-19 ,277,10.26
169,Southern California (Pac-12) ,31,21-10 ,318,10.26
170,Tennessee Tech (OVC) ,33,19-14 ,338,10.24
171,Florida A&M (MEAC) ,34,9-25 ,348,10.24
172,Kennesaw St. (ASUN) ,30,10-20 ,307,10.23
173,Canisius (MAAC) ,32,21-11 ,327,10.22
174,South Dakota (Summit League) ,34,26-8 ,347,10.21
175,Chicago St. (WAC) ,31,3-28 ,316,10.19
176,Louisville (ACC) ,32,20-12 ,326,10.19
176,Central Ark. (Southland) ,32,17-15 ,326,10.19
178,San Francisco (WCC) ,33,18-15 ,336,10.18
179,UAB (C-USA) ,32,20-12 ,325,10.16
180,Wright St. (Horizon) ,34,25-9 ,345,10.15
181,Missouri (SEC) ,31,20-11 ,314,10.13
182,Pepperdine (WCC) ,32,6-26 ,324,10.13
183,Green Bay (Horizon) ,33,13-20 ,334,10.12
184,Arkansas (SEC) ,31,21-10 ,313,10.1
185,UMBC (America East) ,33,23-10 ,333,10.09
186,A&M-Corpus Christi (Southland) ,29,11-18 ,292,10.07
187,Army West Point (Patriot) ,30,13-17 ,302,10.07
188,Bryant (NEC) ,31,3-28 ,312,10.06
189,N.C. A&T (MEAC) ,32,19-13 ,322,10.06
189,Little Rock (Sun Belt) ,32,7-25 ,322,10.06
191,UC Riverside (Big West) ,30,9-21 ,301,10.03
192,Alabama (SEC) ,31,17-14 ,311,10.03
193,Central Conn. St. (NEC) ,32,14-18 ,321,10.03
194,Jacksonville (ASUN) ,33,15-18 ,330,10
194,Northern Ariz. (Big Sky) ,32,5-27 ,320,10
194,Quinnipiac (MAAC) ,33,12-21 ,330,10
194,Northwestern (Big Ten) ,32,15-17 ,320,10
194,Incarnate Word (Southland) ,28,7-21 ,280,10
