Rank,Team,GM,W-L,ST
121,Alabama (SEC) ,32,18-14 ,211
121,Saint Peter's (MAAC) ,32,14-18 ,211
121,Murray St. (OVC) ,31,26-5 ,211
130,UMass Lowell (America East) ,30,12-18 ,210
131,Western Mich. (MAC) ,32,17-15 ,209
131,Towson (CAA) ,32,18-14 ,209
131,Virginia (ACC) ,31,29-2 ,209
134,Florida St. (ACC) ,31,20-11 ,208
134,UTSA (C-USA) ,33,19-14 ,208
134,Oregon St. (Pac-12) ,31,15-16 ,208
137,Ohio (MAC) ,31,14-17 ,207
137,Temple (AAC) ,31,17-14 ,207
137,Lipscomb (ASUN) ,32,23-9 ,207
140,Houston Baptist (Southland) ,31,6-25 ,206
140,Norfolk St. (MEAC) ,33,14-19 ,206
140,Navy (Patriot) ,32,20-12 ,206
140,Maine (America East) ,32,6-26 ,206
144,Texas (Big 12) ,33,19-14 ,205
144,Campbell (Big South) ,31,16-15 ,205
144,IUPUI (Horizon) ,30,11-19 ,205
147,Arizona St. (Pac-12) ,31,20-11 ,204
147,Oklahoma (Big 12) ,31,18-13 ,204
149,VCU (Atlantic 10) ,32,18-14 ,203
149,Saint Francis (PA) (NEC) ,30,18-12 ,203
149,Nevada (MWC) ,33,27-6 ,203
149,Liberty (Big South) ,34,20-14 ,203
153,Bethune-Cookman (MEAC) ,32,18-14 ,202
154,Seton Hall (Big East) ,32,21-11 ,201
154,Air Force (MWC) ,31,12-19 ,201
156,Oakland (Horizon) ,33,19-14 ,200
156,DePaul (Big East) ,31,11-20 ,200
156,Alcorn (SWAC) ,32,11-21 ,200
156,Ole Miss (SEC) ,32,12-20 ,200
156,UMKC (WAC) ,31,10-21 ,200
156,N.C. A&T (MEAC) ,33,20-13 ,200
162,Miami (FL) (ACC) ,30,22-8 ,199
162,Indiana (Big Ten) ,31,16-15 ,199
162,Buffalo (MAC) ,32,24-8 ,199
165,Purdue (Big Ten) ,34,28-6 ,198
165,Jacksonville St. (OVC) ,33,21-12 ,198
165,Arkansas (SEC) ,31,21-10 ,198
168,Notre Dame (ACC) ,34,20-14 ,197
168,Pacific (WCC) ,32,14-18 ,197
168,Monmouth (MAAC) ,31,11-20 ,197
168,Marquette (Big East) ,32,19-13 ,197
168,A&M-Corpus Christi (Southland) ,29,11-18 ,197
173,Saint Louis (Atlantic 10) ,32,17-15 ,196
173,Southern California (Pac-12) ,32,22-10 ,196
173,Kent St. (MAC) ,33,17-16 ,196
173,La.-Monroe (Sun Belt) ,30,16-14 ,196
173,Colgate (Patriot) ,32,19-13 ,196
173,Milwaukee (Horizon) ,33,16-17 ,196
179,USC Upstate (ASUN) ,32,7-25 ,195
179,Gardner-Webb (Big South) ,32,14-18 ,195
179,George Mason (Atlantic 10) ,32,16-16 ,195
182,Sam Houston St. (Southland) ,32,19-13 ,194
182,Florida A&M (MEAC) ,34,9-25 ,194
182,Nebraska (Big Ten) ,32,22-10 ,194
182,Middle Tenn. (C-USA) ,31,24-7 ,194
186,Ohio St. (Big Ten) ,32,24-8 ,193
186,Saint Joseph's (Atlantic 10) ,30,15-15 ,193
186,Eastern Ky. (OVC) ,31,11-20 ,193
186,Holy Cross (Patriot) ,31,12-19 ,193
186,Memphis (AAC) ,32,20-12 ,193
186,Appalachian St. (Sun Belt) ,32,15-17 ,193
186,Yale (Ivy League) ,30,16-14 ,193
193,Louisiana Tech (C-USA) ,32,17-15 ,192
193,Houston (AAC) ,30,24-6 ,192
193,Hartford (America East) ,32,19-13 ,192
196,San Diego St. (MWC) ,30,20-10 ,191
196,LIU Brooklyn (NEC) ,34,18-16 ,191
196,Bucknell (Patriot) ,34,25-9 ,191
199,Tennessee (SEC) ,30,23-7 ,190
199,Evansville (MVC) ,32,17-15 ,190
199,UConn (AAC) ,32,14-18 ,190
199,UC Riverside (Big West) ,31,9-22 ,190
199,Colorado St. (MWC) ,32,11-21 ,190
199,Bryant (NEC) ,31,3-28 ,190
205,Delaware St. (MEAC) ,32,4-28 ,189
205,Akron (MAC) ,32,14-18 ,189
205,La Salle (Atlantic 10) ,32,13-19 ,189
205,George Washington (Atlantic 10) ,33,15-18 ,189
205,Bowling Green (MAC) ,32,16-16 ,189
210,Grand Canyon (WAC) ,30,20-10 ,188
210,Drake (MVC) ,32,16-16 ,188
212,Xavier (Big East) ,32,28-4 ,187
213,Duquesne (Atlantic 10) ,32,16-16 ,186
213,Mississippi Val. (SWAC) ,32,4-28 ,186
213,Manhattan (MAAC) ,31,14-17 ,186
216,Cal St. Fullerton (Big West) ,29,18-11 ,185
216,San Francisco (WCC) ,33,18-15 ,185
218,Utah Valley (WAC) ,31,22-9 ,184
218,Lehigh (Patriot) ,30,16-14 ,184
218,UNLV (MWC) ,33,20-13 ,184
218,Virginia Tech (ACC) ,32,21-11 ,184
222,Penn (Ivy League) ,30,22-8 ,182
222,Quinnipiac (MAAC) ,33,12-21 ,182
222,Fla. Atlantic (C-USA) ,31,12-19 ,182
222,CSU Bakersfield (WAC) ,30,12-18 ,182
222,Eastern Ill. (OVC) ,31,12-19 ,182
227,Southern U. (SWAC) ,32,15-17 ,181
227,UCLA (Pac-12) ,31,21-10 ,181
227,Minnesota (Big Ten) ,32,15-17 ,181
227,Wake Forest (ACC) ,31,11-20 ,181
227,Creighton (Big East) ,32,21-11 ,181
232,Northwestern St. (Southland) ,29,4-25 ,180
232,Northern Ariz. (Big Sky) ,32,5-27 ,180
232,Wisconsin (Big Ten) ,33,15-18 ,180
232,North Carolina (ACC) ,32,23-9 ,180
236,Texas A&M (SEC) ,32,20-12 ,179
237,South Carolina (SEC) ,32,17-15 ,178
237,Howard (MEAC) ,33,10-23 ,178
237,UAB (C-USA) ,33,20-13 ,178
237,Southeast Mo. St. (OVC) ,31,14-17 ,178
241,Texas Southern (SWAC) ,32,13-19 ,177
241,Omaha (Summit League) ,31,9-22 ,177
241,Columbia (Ivy League) ,27,8-19 ,177
241,Clemson (ACC) ,31,23-8 ,177
241,Kentucky (SEC) ,31,21-10 ,177
241,Baylor (Big 12) ,32,18-14 ,177
247,Drexel (CAA) ,33,13-20 ,176
247,Montana St. (Big Sky) ,32,13-19 ,176
247,Mercer (SoCon) ,32,18-14 ,176
250,Presbyterian (Big South) ,32,11-21 ,175
251,Oral Roberts (Summit League) ,32,11-21 ,174
251,Brown (Ivy League) ,27,11-16 ,174
251,William & Mary (CAA) ,31,19-12 ,174
254,Stanford (Pac-12) ,33,18-15 ,173
254,Boise St. (MWC) ,31,23-8 ,173
254,North Florida (ASUN) ,33,14-19 ,173
257,Sacramento St. (Big Sky) ,32,7-25 ,172
257,Coppin St. (MEAC) ,32,5-27 ,172
257,Iowa (Big Ten) ,33,14-19 ,172
257,UC Irvine (Big West) ,33,17-16 ,172
257,New Mexico St. (WAC) ,31,26-5 ,172
262,South Ala. (Sun Belt) ,32,14-18 ,171
262,Texas St. (Sun Belt) ,32,15-17 ,171
262,Coastal Caro. (Sun Belt) ,32,14-18 ,171
262,Col. of Charleston (CAA) ,33,26-7 ,171
262,Boston College (ACC) ,34,19-15 ,171
267,Army West Point (Patriot) ,30,13-17 ,170
267,Binghamton (America East) ,31,11-20 ,170
267,Ball St. (MAC) ,32,19-13 ,170
270,Northern Colo. (Big Sky) ,33,22-11 ,169
270,Incarnate Word (Southland) ,28,7-21 ,169
