Rank,Team,GM,W-L,BLKS,BKPG
112,North Florida (ASUN) ,33,14-19 ,126,3.8
113,Troy (Sun Belt) ,31,15-16 ,118,3.8
114,Weber St. (Big Sky) ,30,20-10 ,114,3.8
114,Oregon St. (Pac-12) ,30,15-15 ,114,3.8
116,Milwaukee (Horizon) ,33,16-17 ,125,3.8
117,Providence (Big East) ,31,19-12 ,117,3.8
118,BYU (WCC) ,34,24-10 ,128,3.8
119,Georgetown (Big East) ,29,15-14 ,109,3.8
120,Southern U. (SWAC) ,32,15-17 ,120,3.8
121,Western Ky. (C-USA) ,31,22-9 ,116,3.7
121,Bethune-Cookman (MEAC) ,31,18-13 ,116,3.7
123,Marquette (Big East) ,30,18-12 ,112,3.7
124,Ga. Southern (Sun Belt) ,31,20-11 ,115,3.7
124,UConn (AAC) ,31,14-17 ,115,3.7
126,Gonzaga (WCC) ,34,30-4 ,126,3.7
127,Long Beach St. (Big West) ,32,15-17 ,117,3.7
128,Notre Dame (ACC) ,31,18-13 ,113,3.6
128,Eastern Ky. (OVC) ,31,11-20 ,113,3.6
128,Grambling (SWAC) ,31,17-14 ,113,3.6
128,TCU (Big 12) ,31,21-10 ,113,3.6
132,UCF (AAC) ,30,18-12 ,109,3.6
133,Col. of Charleston (CAA) ,33,26-7 ,119,3.6
134,St. Bonaventure (Atlantic 10) ,30,24-6 ,108,3.6
134,UC Santa Barbara (Big West) ,30,22-8 ,108,3.6
136,Northern Colo. (Big Sky) ,32,21-11 ,115,3.6
137,Rhode Island (Atlantic 10) ,29,23-6 ,104,3.6
138,Coastal Caro. (Sun Belt) ,31,14-17 ,111,3.6
138,Stanford (Pac-12) ,31,17-14 ,111,3.6
138,Portland St. (Big Sky) ,31,19-12 ,111,3.6
138,Seton Hall (Big East) ,31,21-10 ,111,3.6
142,Southern Ill. (MVC) ,33,20-13 ,118,3.6
143,Arizona St. (Pac-12) ,30,20-10 ,107,3.6
144,Utah (Pac-12) ,29,19-10 ,103,3.6
145,Appalachian St. (Sun Belt) ,31,14-17 ,110,3.5
146,Wisconsin (Big Ten) ,33,15-18 ,117,3.5
147,Kent St. (MAC) ,32,16-16 ,113,3.5
148,Wake Forest (ACC) ,31,11-20 ,109,3.5
148,Pittsburgh (ACC) ,31,8-23 ,109,3.5
150,Oral Roberts (Summit League) ,32,11-21 ,112,3.5
150,Norfolk St. (MEAC) ,32,14-18 ,112,3.5
152,N.C. Central (MEAC) ,31,16-15 ,108,3.5
152,Seattle U (WAC) ,31,19-12 ,108,3.5
154,Cornell (Ivy League) ,27,12-15 ,94,3.5
155,Ball St. (MAC) ,31,19-12 ,107,3.5
156,Columbia (Ivy League) ,27,8-19 ,93,3.4
157,Central Mich. (MAC) ,32,19-13 ,110,3.4
158,IUPUI (Horizon) ,30,11-19 ,103,3.4
158,Montana (Big Sky) ,30,23-7 ,103,3.4
160,Charleston So. (Big South) ,31,15-16 ,106,3.4
160,Sacramento St. (Big Sky) ,31,7-24 ,106,3.4
160,Vanderbilt (SEC) ,31,12-19 ,106,3.4
160,Hampton (MEAC) ,31,17-14 ,106,3.4
164,New Orleans (Southland) ,29,14-15 ,99,3.4
165,Jacksonville (ASUN) ,33,15-18 ,112,3.4
166,Rider (MAAC) ,31,22-9 ,105,3.4
166,Indiana St. (MVC) ,31,13-18 ,105,3.4
166,Holy Cross (Patriot) ,31,12-19 ,105,3.4
166,UT Martin (OVC) ,31,10-21 ,105,3.4
170,Central Conn. St. (NEC) ,32,14-18 ,107,3.3
171,Ohio (MAC) ,31,14-17 ,103,3.3
171,Lafayette (Patriot) ,31,10-21 ,103,3.3
171,Colgate (Patriot) ,31,19-12 ,103,3.3
171,Boston U. (Patriot) ,31,15-16 ,103,3.3
175,UNC Asheville (Big South) ,33,21-12 ,109,3.3
175,San Francisco (WCC) ,33,18-15 ,109,3.3
177,LSU (SEC) ,30,17-13 ,99,3.3
178,UTRGV (WAC) ,31,15-16 ,102,3.3
178,Northern Ky. (Horizon) ,31,22-9 ,102,3.3
180,Cal St. Fullerton (Big West) ,28,17-11 ,92,3.3
181,Boston College (ACC) ,32,18-14 ,105,3.3
181,Valparaiso (MVC) ,32,15-17 ,105,3.3
183,Tennessee Tech (OVC) ,33,19-14 ,108,3.3
184,American (Patriot) ,30,6-24 ,98,3.3
184,Temple (AAC) ,30,16-14 ,98,3.3
186,LIU Brooklyn (NEC) ,34,18-16 ,111,3.3
187,Colorado St. (MWC) ,31,11-20 ,101,3.3
188,James Madison (CAA) ,32,10-22 ,104,3.3
188,Siena (MAAC) ,32,8-24 ,104,3.3
188,Fort Wayne (Summit League) ,32,18-14 ,104,3.3
191,NJIT (ASUN) ,30,14-16 ,97,3.2
192,Eastern Wash. (Big Sky) ,31,18-13 ,100,3.2
192,Fairleigh Dickinson (NEC) ,31,13-18 ,100,3.2
192,Fresno St. (MWC) ,31,21-10 ,100,3.2
192,South Carolina (SEC) ,31,16-15 ,100,3.2
196,Florida A&M (MEAC) ,33,9-24 ,106,3.2
197,FIU (C-USA) ,31,14-17 ,99,3.2
198,Saint Peter's (MAAC) ,32,14-18 ,102,3.2
199,Dartmouth (Ivy League) ,27,7-20 ,86,3.2
200,East Carolina (AAC) ,29,10-19 ,92,3.2
200,San Diego St. (MWC) ,29,19-10 ,92,3.2
202,Michigan (Big Ten) ,35,28-7 ,111,3.2
203,Murray St. (OVC) ,31,26-5 ,98,3.2
204,Western Mich. (MAC) ,32,17-15 ,101,3.2
205,Loyola Maryland (Patriot) ,31,9-22 ,97,3.1
206,Northern Ariz. (Big Sky) ,32,5-27 ,100,3.1
206,Lipscomb (ASUN) ,32,23-9 ,100,3.1
208,Princeton (Ivy League) ,29,13-16 ,90,3.1
209,DePaul (Big East) ,30,11-19 ,93,3.1
209,Kennesaw St. (ASUN) ,30,10-20 ,93,3.1
211,SMU (AAC) ,31,16-15 ,96,3.1
212,The Citadel (SoCon) ,32,11-21 ,99,3.1
213,Longwood (Big South) ,33,7-26 ,102,3.1
214,UC Riverside (Big West) ,30,9-21 ,92,3.1
214,New Mexico St. (WAC) ,30,25-5 ,92,3.1
214,Houston (AAC) ,30,24-6 ,92,3.1
217,Austin Peay (OVC) ,32,18-14 ,98,3.1
218,Iona (MAAC) ,33,20-13 ,101,3.1
219,Yale (Ivy League) ,30,16-14 ,91,3
219,Southern Utah (Big Sky) ,30,12-18 ,91,3
221,Southeastern La. (Southland) ,31,21-10 ,94,3
222,Prairie View (SWAC) ,33,16-17 ,100,3
222,Green Bay (Horizon) ,33,13-20 ,100,3
224,Massachusetts (Atlantic 10) ,31,12-19 ,93,3
224,Butler (Big East) ,31,19-12 ,93,3
224,Little Rock (Sun Belt) ,31,7-24 ,93,3
224,Brown (Ivy League) ,27,11-16 ,81,3
228,George Mason (Atlantic 10) ,31,15-16 ,92,3
228,Kansas St. (Big 12) ,31,21-10 ,92,3
228,Xavier (Big East) ,31,27-4 ,92,3
231,Morehead St. (OVC) ,29,8-21 ,86,3
232,Radford (Big South) ,34,22-12 ,100,2.9
233,Stony Brook (America East) ,32,13-19 ,94,2.9
233,Maine (America East) ,32,6-26 ,94,2.9
235,Saint Joseph's (Atlantic 10) ,30,15-15 ,88,2.9
236,A&M-Corpus Christi (Southland) ,28,11-17 ,82,2.9
237,Canisius (MAAC) ,32,21-11 ,93,2.9
238,Houston Baptist (Southland) ,31,6-25 ,90,2.9
239,UTEP (C-USA) ,30,11-19 ,87,2.9
239,VMI (SoCon) ,30,9-21 ,87,2.9
241,Fairfield (MAAC) ,33,17-16 ,95,2.9
242,Gardner-Webb (Big South) ,32,14-18 ,92,2.9
242,Evansville (MVC) ,32,17-15 ,92,2.9
242,Western Caro. (SoCon) ,32,13-19 ,92,2.9
245,New Mexico (MWC) ,31,17-14 ,89,2.9
246,Tennessee St. (OVC) ,30,15-15 ,86,2.9
246,UMass Lowell (America East) ,30,12-18 ,86,2.9
248,CSU Bakersfield (WAC) ,29,12-17 ,83,2.9
249,Albany (NY) (America East) ,32,22-10 ,91,2.8
250,Texas St. (Sun Belt) ,31,14-17 ,88,2.8
250,Savannah St. (MEAC) ,31,15-16 ,88,2.8
250,Jackson St. (SWAC) ,31,12-20 ,88,2.8
250,Arkansas St. (Sun Belt) ,31,11-20 ,88,2.8
254,Penn (Ivy League) ,30,22-8 ,85,2.8
255,Howard (MEAC) ,33,10-23 ,93,2.8
256,La Salle (Atlantic 10) ,31,13-18 ,87,2.8
257,FGCU (ASUN) ,34,23-11 ,95,2.8
258,UTSA (C-USA) ,31,18-13 ,86,2.8
258,SFA (Southland) ,31,25-6 ,86,2.8
260,Morgan St. (MEAC) ,30,12-18 ,83,2.8
260,Army West Point (Patriot) ,30,13-17 ,83,2.8
262,Saint Mary's (CA) (WCC) ,33,28-5 ,91,2.8
263,Detroit Mercy (Horizon) ,32,8-24 ,88,2.8
264,VCU (Atlantic 10) ,31,17-14 ,85,2.7
264,North Texas (C-USA) ,31,15-16 ,85,2.7
266,High Point (Big South) ,30,14-16 ,82,2.7
266,SIUE (OVC) ,30,9-21 ,82,2.7
268,Robert Morris (NEC) ,33,16-17 ,90,2.7
269,Stetson (ASUN) ,32,12-20 ,87,2.7
