Rank,Team,GM,W-L,AST
128,Pepperdine (WCC) ,32,6-26 ,449
130,Texas Tech (Big 12) ,31,23-8 ,448
130,SFA (Southland) ,31,25-6 ,448
132,Mt. St. Mary's (NEC) ,32,18-14 ,447
132,Bradley (MVC) ,33,20-13 ,447
132,Northwestern (Big Ten) ,32,15-17 ,447
135,Kansas St. (Big 12) ,31,21-10 ,446
135,Kennesaw St. (ASUN) ,30,10-20 ,446
137,Utah St. (MWC) ,32,16-16 ,445
137,Youngstown St. (Horizon) ,32,8-24 ,445
137,Vermont (America East) ,33,27-6 ,445
137,Campbell (Big South) ,31,16-15 ,445
137,Air Force (MWC) ,31,12-19 ,445
142,Idaho (Big Sky) ,30,22-8 ,444
143,Ball St. (MAC) ,31,19-12 ,443
143,Ohio (MAC) ,31,14-17 ,443
145,New Orleans (Southland) ,30,15-15 ,442
145,Lamar University (Southland) ,32,19-13 ,442
145,Illinois (Big Ten) ,32,14-18 ,442
145,Rider (MAAC) ,31,22-9 ,442
149,San Diego St. (MWC) ,29,19-10 ,440
150,Loyola Marymount (WCC) ,31,11-20 ,439
150,Arizona St. (Pac-12) ,31,20-11 ,439
150,Rhode Island (Atlantic 10) ,29,23-6 ,439
153,Louisville (ACC) ,32,20-12 ,438
153,Butler (Big East) ,31,19-12 ,438
155,Detroit Mercy (Horizon) ,32,8-24 ,437
155,Cornell (Ivy League) ,27,12-15 ,437
157,Texas St. (Sun Belt) ,32,15-17 ,436
157,Nebraska (Big Ten) ,32,22-10 ,436
159,UMass Lowell (America East) ,30,12-18 ,435
159,Indiana (Big Ten) ,31,16-15 ,435
159,San Francisco (WCC) ,33,18-15 ,435
159,Norfolk St. (MEAC) ,32,14-18 ,435
163,Seattle U (WAC) ,31,19-12 ,433
163,Miami (OH) (MAC) ,32,16-16 ,433
163,Manhattan (MAAC) ,31,14-17 ,433
166,Wake Forest (ACC) ,31,11-20 ,432
166,Houston Baptist (Southland) ,31,6-25 ,432
168,Providence (Big East) ,31,19-12 ,431
168,New Mexico St. (WAC) ,30,25-5 ,431
