Rank,Team,GM,W-L,AST,TO,Ratio
103,Texas A&M (SEC) ,31,20-11 ,489,417,1.17
104,Miami (FL) (ACC) ,30,22-8 ,402,343,1.17
105,Tulane (AAC) ,30,14-16 ,466,398,1.17
106,Wisconsin (Big Ten) ,33,15-18 ,411,353,1.16
107,Saint Francis (PA) (NEC) ,30,18-12 ,404,347,1.16
108,Northeastern (CAA) ,33,23-10 ,523,450,1.16
109,Temple (AAC) ,30,16-14 ,381,328,1.16
110,Liberty (Big South) ,34,20-14 ,476,410,1.16
111,Eastern Wash. (Big Sky) ,31,18-13 ,408,352,1.16
112,Fairfield (MAAC) ,33,17-16 ,487,421,1.16
113,Iowa St. (Big 12) ,30,13-17 ,407,352,1.16
114,Santa Clara (WCC) ,31,11-20 ,404,350,1.15
115,Hampton (MEAC) ,31,17-14 ,460,399,1.15
116,Middle Tenn. (C-USA) ,30,24-6 ,424,368,1.15
117,Louisiana Tech (C-USA) ,31,16-15 ,442,385,1.15
118,Dayton (Atlantic 10) ,30,14-16 ,477,416,1.15
119,Texas Tech (Big 12) ,31,23-8 ,448,394,1.14
120,Western Ky. (C-USA) ,31,22-9 ,425,374,1.14
121,Columbia (Ivy League) ,27,8-19 ,384,338,1.14
122,Georgetown (Big East) ,29,15-14 ,504,444,1.14
123,Oklahoma (Big 12) ,30,18-12 ,457,403,1.13
124,Baylor (Big 12) ,31,18-13 ,464,410,1.13
125,Penn St. (Big Ten) ,34,21-13 ,465,411,1.13
126,N.C. A&T (MEAC) ,32,19-13 ,491,434,1.13
127,New Mexico St. (WAC) ,30,25-5 ,431,381,1.13
128,Louisville (ACC) ,31,19-12 ,423,374,1.13
129,VCU (Atlantic 10) ,31,17-14 ,480,425,1.13
130,UTRGV (WAC) ,31,15-16 ,478,424,1.13
131,Central Mich. (MAC) ,32,19-13 ,426,378,1.13
132,Indiana (Big Ten) ,31,16-15 ,435,386,1.13
133,Lehigh (Patriot) ,30,16-14 ,428,380,1.13
134,Savannah St. (MEAC) ,31,15-16 ,491,437,1.12
135,Bucknell (Patriot) ,33,24-9 ,474,422,1.12
136,Oregon St. (Pac-12) ,30,15-15 ,453,404,1.12
137,UNLV (MWC) ,31,19-12 ,500,446,1.12
138,Air Force (MWC) ,30,12-18 ,423,378,1.12
139,UTSA (C-USA) ,31,18-13 ,439,393,1.12
140,Wyoming (MWC) ,31,19-12 ,478,428,1.12
141,UNC Asheville (Big South) ,33,21-12 ,503,452,1.11
142,Missouri St. (MVC) ,33,18-15 ,425,382,1.11
143,Idaho (Big Sky) ,30,22-8 ,444,401,1.11
144,The Citadel (SoCon) ,32,11-21 ,528,477,1.11
145,Fresno St. (MWC) ,31,21-10 ,409,370,1.11
146,Holy Cross (Patriot) ,31,12-19 ,421,381,1.1
147,Southern Ill. (MVC) ,33,20-13 ,464,420,1.1
148,Oral Roberts (Summit League) ,32,11-21 ,453,411,1.1
149,ETSU (SoCon) ,34,25-9 ,500,454,1.1
150,FGCU (ASUN) ,34,23-11 ,524,476,1.1
151,Boston College (ACC) ,32,18-14 ,454,413,1.1
152,Princeton (Ivy League) ,29,13-16 ,367,334,1.1
153,N.C. Central (MEAC) ,31,16-15 ,481,438,1.1
154,San Francisco (WCC) ,33,18-15 ,435,397,1.1
155,La Salle (Atlantic 10) ,31,13-18 ,404,369,1.09
156,Sacramento St. (Big Sky) ,31,7-24 ,406,371,1.09
157,Albany (NY) (America East) ,32,22-10 ,405,371,1.09
158,Sam Houston St. (Southland) ,31,18-13 ,453,415,1.09
159,Providence (Big East) ,31,19-12 ,431,395,1.09
160,Kennesaw St. (ASUN) ,30,10-20 ,446,409,1.09
161,Delaware (CAA) ,33,14-19 ,386,354,1.09
162,Southeast Mo. St. (OVC) ,31,14-17 ,423,388,1.09
163,Clemson (ACC) ,30,22-8 ,400,367,1.09
164,Troy (Sun Belt) ,31,15-16 ,414,380,1.09
165,Washington St. (Pac-12) ,30,12-18 ,441,405,1.09
166,Oklahoma St. (Big 12) ,31,18-13 ,446,410,1.09
167,Loyola Marymount (WCC) ,31,11-20 ,439,404,1.09
168,St. John's (NY) (Big East) ,31,15-16 ,403,372,1.08
169,Utah St. (MWC) ,31,15-16 ,431,398,1.08
170,DePaul (Big East) ,30,11-19 ,448,416,1.08
171,UT Arlington (Sun Belt) ,31,19-12 ,506,470,1.08
172,San Diego (WCC) ,31,18-13 ,426,396,1.08
173,Ohio (MAC) ,31,14-17 ,443,412,1.08
174,UMass Lowell (America East) ,30,12-18 ,435,405,1.07
175,Pacific (WCC) ,32,14-18 ,395,368,1.07
176,Rider (MAAC) ,31,22-9 ,442,412,1.07
177,Niagara (MAAC) ,32,19-13 ,386,360,1.07
178,Fordham (Atlantic 10) ,30,9-21 ,403,376,1.07
179,Illinois St. (MVC) ,33,18-15 ,468,438,1.07
180,Ball St. (MAC) ,31,19-12 ,443,415,1.07
181,Hartford (America East) ,32,19-13 ,416,390,1.07
182,Southeastern La. (Southland) ,31,21-10 ,459,432,1.06
183,Wake Forest (ACC) ,31,11-20 ,432,407,1.06
184,Winthrop (Big South) ,31,19-12 ,455,429,1.06
185,FIU (C-USA) ,31,14-17 ,365,345,1.06
186,Lamar University (Southland) ,31,19-12 ,432,410,1.05
187,George Washington (Atlantic 10) ,31,14-17 ,418,397,1.05
188,Abilene Christian (Southland) ,31,16-15 ,468,445,1.05
189,North Dakota St. (Summit League) ,32,15-17 ,422,402,1.05
190,Lipscomb (ASUN) ,32,23-9 ,503,480,1.05
191,NJIT (ASUN) ,30,14-16 ,417,399,1.05
192,Hawaii (Big West) ,29,17-12 ,408,391,1.04
193,Bowling Green (MAC) ,32,16-16 ,425,408,1.04
194,Milwaukee (Horizon) ,33,16-17 ,429,412,1.04
195,Bryant (NEC) ,31,3-28 ,417,401,1.04
196,Vanderbilt (SEC) ,31,12-19 ,381,368,1.04
197,Illinois (Big Ten) ,32,14-18 ,442,427,1.04
198,Maryland (Big Ten) ,32,19-13 ,452,438,1.03
199,UNCG (SoCon) ,34,27-7 ,480,468,1.03
200,North Florida (ASUN) ,33,14-19 ,490,478,1.03
201,Montana (Big Sky) ,30,23-7 ,390,382,1.02
202,Mississippi St. (SEC) ,31,21-10 ,412,404,1.02
203,New Hampshire (America East) ,31,10-21 ,368,362,1.02
204,Bradley (MVC) ,33,20-13 ,447,441,1.01
205,Green Bay (Horizon) ,33,13-20 ,459,453,1.01
206,James Madison (CAA) ,32,10-22 ,388,383,1.01
207,Texas St. (Sun Belt) ,31,14-17 ,423,418,1.01
208,Wright St. (Horizon) ,34,25-9 ,451,446,1.01
209,Portland (WCC) ,32,10-22 ,387,383,1.01
210,Eastern Ky. (OVC) ,31,11-20 ,405,401,1.01
211,Eastern Mich. (MAC) ,31,20-11 ,403,400,1.01
212,Cal Poly (Big West) ,30,9-21 ,361,359,1.01
213,Detroit Mercy (Horizon) ,32,8-24 ,437,435,1
214,Montana St. (Big Sky) ,32,13-19 ,401,400,1
215,Radford (Big South) ,34,22-12 ,415,414,1
216,Denver (Summit League) ,30,15-15 ,452,451,1
217,Bethune-Cookman (MEAC) ,31,18-13 ,491,491,1
217,Tennessee Tech (OVC) ,33,19-14 ,471,471,1
217,CSUN (Big West) ,30,6-24 ,366,366,1
220,Duquesne (Atlantic 10) ,31,16-15 ,372,373,1
221,Navy (Patriot) ,32,20-12 ,450,452,1
222,Miami (OH) (MAC) ,32,16-16 ,433,435,1
223,Georgia Tech (ACC) ,32,13-19 ,409,411,1
224,Boise St. (MWC) ,30,23-7 ,401,403,1
225,Cleveland St. (Horizon) ,35,12-23 ,456,459,0.99
226,Omaha (Summit League) ,31,9-22 ,405,409,0.99
227,Tulsa (AAC) ,30,19-11 ,385,389,0.99
228,Kentucky (SEC) ,31,21-10 ,413,418,0.99
229,Binghamton (America East) ,31,11-20 ,376,381,0.99
230,Houston Baptist (Southland) ,31,6-25 ,432,438,0.99
231,Boston U. (Patriot) ,31,15-16 ,420,427,0.98
232,Dartmouth (Ivy League) ,27,7-20 ,359,365,0.98
