Rank,Team,GM,W-L,3FG,3FGA
117,UMES (MEAC) ,32,7-25 ,206,725
119,La.-Monroe (Sun Belt) ,29,15-14 ,264,723
120,UCLA (Pac-12) ,30,20-10 ,278,721
120,Lehigh (Patriot) ,30,16-14 ,293,721
122,Northwestern (Big Ten) ,32,15-17 ,255,720
123,Saint Joseph's (Atlantic 10) ,30,15-15 ,237,719
124,Notre Dame (ACC) ,31,18-13 ,269,718
125,Wichita St. (AAC) ,30,24-6 ,277,717
126,Central Ark. (Southland) ,31,16-15 ,260,716
127,Dayton (Atlantic 10) ,30,14-16 ,243,715
128,Louisiana Tech (C-USA) ,31,16-15 ,271,714
129,Butler (Big East) ,31,19-12 ,257,713
130,Youngstown St. (Horizon) ,32,8-24 ,235,712
131,Temple (AAC) ,30,16-14 ,245,711
131,ETSU (SoCon) ,34,25-9 ,244,711
133,American (Patriot) ,30,6-24 ,239,709
134,Lafayette (Patriot) ,31,10-21 ,263,708
135,Missouri St. (MVC) ,33,18-15 ,234,707
135,Nicholls St. (Southland) ,31,21-10 ,253,707
137,Jackson St. (SWAC) ,31,12-20 ,229,706
138,UNCW (CAA) ,32,11-21 ,244,705
138,Mercer (SoCon) ,32,18-14 ,273,705
138,Illinois (Big Ten) ,32,14-18 ,236,705
141,Milwaukee (Horizon) ,33,16-17 ,235,704
141,VMI (SoCon) ,30,9-21 ,225,704
143,North Carolina (ACC) ,31,22-9 ,261,703
143,Ball St. (MAC) ,31,19-12 ,239,703
143,Western Caro. (SoCon) ,32,13-19 ,234,703
146,Grand Canyon (WAC) ,30,20-10 ,231,702
147,Lamar University (Southland) ,31,19-12 ,245,699
147,Drexel (CAA) ,33,13-20 ,227,699
149,North Texas (C-USA) ,31,15-16 ,246,698
149,Col. of Charleston (CAA) ,33,26-7 ,254,698
151,Virginia Tech (ACC) ,31,21-10 ,272,697
151,Tennessee Tech (OVC) ,33,19-14 ,242,697
151,Alcorn (SWAC) ,32,11-21 ,239,697
154,Murray St. (OVC) ,31,26-5 ,264,696
155,James Madison (CAA) ,32,10-22 ,231,695
155,LSU (SEC) ,30,17-13 ,245,695
157,Tulsa (AAC) ,30,19-11 ,245,694
157,Omaha (Summit League) ,31,9-22 ,254,694
157,La Salle (Atlantic 10) ,31,13-18 ,233,694
