Rank,Name,GM,W-L,OPP FG,OPP FGA,OPP FG%
100,Middle Tenn. (C-USA) ,30,24-6 ,659,1545,42.7
101,North Dakota St. (Summit League) ,32,15-17 ,799,1872,42.7
102,Coppin St. (MEAC) ,32,5-27 ,810,1897,42.7
103,Fla. Atlantic (C-USA) ,30,12-18 ,755,1767,42.7
104,Bethune-Cookman (MEAC) ,31,18-13 ,858,2008,42.7
105,Sam Houston St. (Southland) ,31,18-13 ,725,1696,42.7
106,Florida (SEC) ,31,20-11 ,759,1775,42.8
107,Notre Dame (ACC) ,31,18-13 ,792,1852,42.8
108,North Carolina (ACC) ,31,22-9 ,829,1936,42.8
109,Little Rock (Sun Belt) ,31,7-24 ,724,1690,42.8
110,Radford (Big South) ,34,22-12 ,769,1795,42.8
111,UTEP (C-USA) ,30,11-19 ,730,1703,42.9
112,Nevada (MWC) ,32,26-6 ,834,1945,42.9
113,Georgia Tech (ACC) ,32,13-19 ,768,1791,42.9
114,Ga. Southern (Sun Belt) ,31,20-11 ,775,1807,42.9
115,South Dakota St. (Summit League) ,34,28-6 ,928,2163,42.9
116,UNLV (MWC) ,31,19-12 ,890,2074,42.9
117,Ark.-Pine Bluff (SWAC) ,32,13-20 ,764,1778,43
118,Michigan (Big Ten) ,35,28-7 ,813,1891,43
119,Towson (CAA) ,32,18-14 ,774,1800,43
120,Belmont (OVC) ,33,24-9 ,836,1943,43
121,Tennessee St. (OVC) ,30,15-15 ,683,1586,43.1
122,Green Bay (Horizon) ,33,13-20 ,899,2087,43.1
123,La.-Monroe (Sun Belt) ,29,15-14 ,700,1625,43.1
124,Miami (FL) (ACC) ,30,22-8 ,739,1715,43.1
125,Vermont (America East) ,33,27-6 ,781,1812,43.1
126,Buffalo (MAC) ,31,23-8 ,806,1869,43.1
127,Holy Cross (Patriot) ,31,12-19 ,713,1653,43.1
128,Louisiana (Sun Belt) ,31,26-5 ,775,1796,43.2
129,Ohio (MAC) ,31,14-17 ,839,1944,43.2
130,Memphis (AAC) ,31,19-12 ,767,1777,43.2
131,New Hampshire (America East) ,31,10-21 ,712,1648,43.2
132,SFA (Southland) ,31,25-6 ,687,1590,43.2
133,Arizona (Pac-12) ,31,24-7 ,783,1812,43.2
134,Mercer (SoCon) ,32,18-14 ,751,1737,43.2
135,UConn (AAC) ,31,14-17 ,778,1799,43.2
136,Monmouth (MAAC) ,31,11-20 ,781,1805,43.3
137,McNeese (Southland) ,28,11-17 ,786,1816,43.3
138,Western Ky. (C-USA) ,31,22-9 ,814,1880,43.3
139,Oregon St. (Pac-12) ,30,15-15 ,718,1658,43.3
140,Furman (SoCon) ,33,23-10 ,825,1905,43.3
141,Alcorn (SWAC) ,32,11-21 ,809,1867,43.3
142,Southeastern La. (Southland) ,31,21-10 ,775,1788,43.3
143,Xavier (Big East) ,31,27-4 ,845,1949,43.4
144,A&M-Corpus Christi (Southland) ,28,11-17 ,651,1501,43.4
145,Denver (Summit League) ,30,15-15 ,746,1720,43.4
146,FIU (C-USA) ,31,14-17 ,776,1789,43.4
147,Gardner-Webb (Big South) ,32,14-18 ,798,1839,43.4
148,Charleston So. (Big South) ,31,15-16 ,714,1644,43.4
149,Hartford (America East) ,32,19-13 ,788,1814,43.4
150,Central Mich. (MAC) ,32,19-13 ,836,1924,43.5
151,Col. of Charleston (CAA) ,33,26-7 ,803,1848,43.5
152,Fresno St. (MWC) ,31,21-10 ,727,1673,43.5
153,Troy (Sun Belt) ,31,15-16 ,817,1880,43.5
154,Creighton (Big East) ,31,21-10 ,860,1978,43.5
155,Milwaukee (Horizon) ,33,16-17 ,811,1865,43.5
156,Miami (OH) (MAC) ,32,16-16 ,821,1887,43.5
157,Portland (WCC) ,32,10-22 ,838,1926,43.5
158,Grambling (SWAC) ,31,17-14 ,792,1820,43.5
159,Seton Hall (Big East) ,31,21-10 ,817,1877,43.5
159,Villanova (Big East) ,31,27-4 ,817,1877,43.5
161,San Jose St. (MWC) ,29,4-25 ,752,1727,43.5
162,Arizona St. (Pac-12) ,30,20-10 ,788,1808,43.6
163,North Texas (C-USA) ,31,15-16 ,761,1746,43.6
164,Appalachian St. (Sun Belt) ,31,14-17 ,800,1835,43.6
165,Oklahoma St. (Big 12) ,31,18-13 ,783,1796,43.6
166,Georgetown (Big East) ,29,15-14 ,790,1812,43.6
167,Eastern Ill. (OVC) ,31,12-19 ,740,1696,43.6
168,UC Santa Barbara (Big West) ,30,22-8 ,766,1755,43.6
169,Northwestern (Big Ten) ,32,15-17 ,729,1669,43.7
170,Tennessee Tech (OVC) ,33,19-14 ,838,1918,43.7
171,Manhattan (MAAC) ,31,14-17 ,735,1681,43.7
172,Stony Brook (America East) ,32,13-19 ,761,1740,43.7
173,Temple (AAC) ,30,16-14 ,763,1743,43.8
174,Elon (CAA) ,32,14-18 ,892,2037,43.8
175,Boston College (ACC) ,32,18-14 ,844,1927,43.8
176,Minnesota (Big Ten) ,32,15-17 ,876,2000,43.8
177,Davidson (Atlantic 10) ,29,18-11 ,708,1616,43.8
178,Southern Ill. (MVC) ,33,20-13 ,801,1828,43.8
