Rank,Team,GM,W-L,PTS,PPG
108,Montana St. (Big Sky) ,32,13-19 ,2434,76.1
109,UTRGV (WAC) ,31,15-16 ,2356,76
110,Troy (Sun Belt) ,31,15-16 ,2355,76
110,Southeast Mo. St. (OVC) ,31,14-17 ,2355,76
112,Fairfield (MAAC) ,33,17-16 ,2506,75.9
113,Bowling Green (MAC) ,32,16-16 ,2429,75.9
114,Campbell (Big South) ,31,16-15 ,2351,75.8
114,North Dakota (Big Sky) ,31,12-19 ,2351,75.8
114,Stanford (Pac-12) ,31,17-14 ,2351,75.8
117,Ohio St. (Big Ten) ,32,24-8 ,2426,75.8
117,Illinois (Big Ten) ,32,14-18 ,2426,75.8
119,USC Upstate (ASUN) ,32,7-25 ,2424,75.8
120,Baylor (Big 12) ,31,18-13 ,2347,75.7
120,Texas Tech (Big 12) ,31,23-8 ,2347,75.7
122,Cincinnati (AAC) ,31,27-4 ,2345,75.6
123,Notre Dame (ACC) ,31,18-13 ,2343,75.6
123,Seattle U (WAC) ,31,19-12 ,2343,75.6
125,Ole Miss (SEC) ,31,12-19 ,2342,75.5
125,Louisiana Tech (C-USA) ,31,16-15 ,2342,75.5
127,Georgia St. (Sun Belt) ,31,21-10 ,2341,75.5
128,Mercer (SoCon) ,32,18-14 ,2416,75.5
129,N.C. A&T (MEAC) ,32,19-13 ,2415,75.5
130,Ball St. (MAC) ,31,19-12 ,2337,75.4
131,Stetson (ASUN) ,32,12-20 ,2412,75.4
132,Monmouth (MAAC) ,31,11-20 ,2336,75.4
133,Long Beach St. (Big West) ,32,15-17 ,2411,75.3
134,Youngstown St. (Horizon) ,32,8-24 ,2410,75.3
135,Prairie View (SWAC) ,33,16-17 ,2485,75.3
136,Ohio (MAC) ,31,14-17 ,2334,75.3
137,Wofford (SoCon) ,33,21-12 ,2484,75.3
138,ETSU (SoCon) ,34,25-9 ,2556,75.2
139,Yale (Ivy League) ,30,16-14 ,2255,75.2
140,Texas A&M (SEC) ,31,20-11 ,2330,75.2
141,Minnesota (Big Ten) ,32,15-17 ,2405,75.2
142,Southern Utah (Big Sky) ,30,12-18 ,2254,75.1
143,Eastern Wash. (Big Sky) ,31,18-13 ,2329,75.1
144,Ill.-Chicago (Horizon) ,32,17-15 ,2403,75.1
145,Col. of Charleston (CAA) ,33,26-7 ,2478,75.1
146,Idaho (Big Sky) ,30,22-8 ,2252,75.1
146,Middle Tenn. (C-USA) ,30,24-6 ,2252,75.1
148,Western Mich. (MAC) ,32,17-15 ,2402,75.1
149,New Mexico St. (WAC) ,30,25-5 ,2251,75
150,McNeese (Southland) ,28,11-17 ,2099,75
151,NJIT (ASUN) ,30,14-16 ,2248,74.9
152,Northeastern (CAA) ,33,23-10 ,2472,74.9
153,Arkansas St. (Sun Belt) ,31,11-20 ,2315,74.7
154,Wagner (NEC) ,32,23-9 ,2389,74.7
155,Penn St. (Big Ten) ,34,21-13 ,2537,74.6
156,Fairleigh Dickinson (NEC) ,31,13-18 ,2313,74.6
157,Vermont (America East) ,33,27-6 ,2461,74.6
158,Washington (Pac-12) ,31,20-11 ,2311,74.5
159,Old Dominion (C-USA) ,30,24-6 ,2236,74.5
160,UNC Asheville (Big South) ,33,21-12 ,2459,74.5
161,Michigan (Big Ten) ,35,28-7 ,2606,74.5
162,North Dakota St. (Summit League) ,32,15-17 ,2382,74.4
163,Miami (FL) (ACC) ,30,22-8 ,2232,74.4
164,Tennessee (SEC) ,30,23-7 ,2231,74.4
165,Drexel (CAA) ,33,13-20 ,2454,74.4
166,Army West Point (Patriot) ,30,13-17 ,2230,74.3
167,Grand Canyon (WAC) ,30,20-10 ,2229,74.3
168,Albany (NY) (America East) ,32,22-10 ,2375,74.2
169,Howard (MEAC) ,33,10-23 ,2449,74.2
170,UMBC (America East) ,33,23-10 ,2448,74.2
171,Oregon St. (Pac-12) ,30,15-15 ,2222,74.1
172,BYU (WCC) ,34,24-10 ,2517,74
173,Mississippi St. (SEC) ,31,21-10 ,2294,74
174,Providence (Big East) ,31,19-12 ,2293,74
175,Saint Joseph's (Atlantic 10) ,30,15-15 ,2216,73.9
176,Cal St. Fullerton (Big West) ,28,17-11 ,2068,73.9
177,Tulsa (AAC) ,30,19-11 ,2213,73.8
178,Utah (Pac-12) ,29,19-10 ,2139,73.8
179,Abilene Christian (Southland) ,31,16-15 ,2286,73.7
180,Missouri (SEC) ,31,20-11 ,2285,73.7
181,Idaho St. (Big Sky) ,30,14-16 ,2211,73.7
182,Washington St. (Pac-12) ,30,12-18 ,2208,73.6
183,South Carolina St. (MEAC) ,32,10-22 ,2355,73.6
184,Drake (MVC) ,32,16-16 ,2354,73.6
185,UC Davis (Big West) ,30,21-9 ,2205,73.5
186,UNCG (SoCon) ,34,27-7 ,2498,73.5
187,Austin Peay (OVC) ,32,18-14 ,2351,73.5
188,Wake Forest (ACC) ,31,11-20 ,2273,73.3
189,Elon (CAA) ,32,14-18 ,2346,73.3
190,Colgate (Patriot) ,31,19-12 ,2272,73.3
191,Kent St. (MAC) ,32,16-16 ,2345,73.3
192,North Texas (C-USA) ,31,15-16 ,2271,73.3
193,Clemson (ACC) ,30,22-8 ,2197,73.2
194,James Madison (CAA) ,32,10-22 ,2341,73.2
195,Iowa St. (Big 12) ,30,13-17 ,2194,73.1
196,Utah St. (MWC) ,31,15-16 ,2267,73.1
197,Tennessee Tech (OVC) ,33,19-14 ,2413,73.1
198,La Salle (Atlantic 10) ,31,13-18 ,2266,73.1
198,N.C. Central (MEAC) ,31,16-15 ,2266,73.1
200,Tulane (AAC) ,30,14-16 ,2192,73.1
200,Denver (Summit League) ,30,15-15 ,2192,73.1
202,Maryland (Big Ten) ,32,19-13 ,2338,73.1
203,St. John's (NY) (Big East) ,31,15-16 ,2264,73
204,Norfolk St. (MEAC) ,32,14-18 ,2335,73
205,St. Francis Brooklyn (NEC) ,31,13-18 ,2260,72.9
206,Jacksonville (ASUN) ,33,15-18 ,2405,72.9
207,Oral Roberts (Summit League) ,32,11-21 ,2332,72.9
208,Mt. St. Mary's (NEC) ,32,18-14 ,2331,72.8
209,Kansas St. (Big 12) ,31,21-10 ,2255,72.7
209,Grambling (SWAC) ,31,17-14 ,2255,72.7
211,Kennesaw St. (ASUN) ,30,10-20 ,2182,72.7
212,Nebraska (Big Ten) ,32,22-10 ,2327,72.7
213,Vanderbilt (SEC) ,31,12-19 ,2254,72.7
214,Princeton (Ivy League) ,29,13-16 ,2106,72.6
215,Southeastern La. (Southland) ,31,21-10 ,2250,72.6
216,Colorado St. (MWC) ,31,11-20 ,2249,72.5
216,Duquesne (Atlantic 10) ,31,16-15 ,2249,72.5
218,Indiana St. (MVC) ,31,13-18 ,2248,72.5
219,Northern Ill. (MAC) ,32,13-19 ,2319,72.5
220,Loyola Chicago (MVC) ,33,28-5 ,2390,72.4
221,Alabama (SEC) ,31,17-14 ,2245,72.4
222,Dayton (Atlantic 10) ,30,14-16 ,2172,72.4
223,George Mason (Atlantic 10) ,31,15-16 ,2242,72.3
224,Marist (MAAC) ,31,6-25 ,2239,72.2
225,Akron (MAC) ,31,14-17 ,2238,72.2
226,Wright St. (Horizon) ,34,25-9 ,2453,72.1
227,Eastern Mich. (MAC) ,31,20-11 ,2234,72.1
228,DePaul (Big East) ,30,11-19 ,2161,72
229,Coastal Caro. (Sun Belt) ,31,14-17 ,2232,72
229,Charleston So. (Big South) ,31,15-16 ,2232,72
231,Texas (Big 12) ,31,18-13 ,2230,71.9
231,Massachusetts (Atlantic 10) ,31,12-19 ,2230,71.9
231,Eastern Ky. (OVC) ,31,11-20 ,2230,71.9
234,Indiana (Big Ten) ,31,16-15 ,2229,71.9
235,Western Ill. (Summit League) ,28,12-16 ,2012,71.9
236,Loyola Marymount (WCC) ,31,11-20 ,2227,71.8
237,Miami (OH) (MAC) ,32,16-16 ,2293,71.7
238,Illinois St. (MVC) ,33,18-15 ,2364,71.6
238,Quinnipiac (MAAC) ,33,12-21 ,2364,71.6
240,Jacksonville St. (OVC) ,33,21-12 ,2359,71.5
241,Colorado (Pac-12) ,30,16-14 ,2143,71.4
242,Pepperdine (WCC) ,32,6-26 ,2283,71.3
243,Richmond (Atlantic 10) ,30,11-19 ,2139,71.3
244,Pacific (WCC) ,32,14-18 ,2280,71.3
245,Charlotte (C-USA) ,29,6-23 ,2066,71.2
246,Liberty (Big South) ,34,20-14 ,2421,71.2
247,Lafayette (Patriot) ,31,10-21 ,2207,71.2
248,Memphis (AAC) ,31,19-12 ,2202,71
249,High Point (Big South) ,30,14-16 ,2126,70.9
250,Delaware (CAA) ,33,14-19 ,2338,70.8
251,Morgan St. (MEAC) ,30,12-18 ,2125,70.8
252,FIU (C-USA) ,31,14-17 ,2194,70.8
253,Incarnate Word (Southland) ,28,7-21 ,1978,70.6
