Rank,Name,GM,W-L,FTM,FTA
118,Drexel (CAA) ,33,13-20 ,467,646
118,Colorado St. (MWC) ,32,11-21 ,467,651
120,Saint Francis (PA) (NEC) ,30,18-12 ,466,610
120,Gonzaga (WCC) ,34,30-4 ,466,645
120,Seattle U (WAC) ,31,19-12 ,466,626
123,La Salle (Atlantic 10) ,32,13-19 ,465,591
123,New Orleans (Southland) ,30,15-15 ,465,681
125,Fresno St. (MWC) ,31,21-10 ,464,668
125,Florida A&M (MEAC) ,34,9-25 ,464,641
127,Arkansas (SEC) ,31,21-10 ,463,691
128,Oregon St. (Pac-12) ,30,15-15 ,460,647
128,ETSU (SoCon) ,34,25-9 ,460,648
128,Cincinnati (AAC) ,31,27-4 ,460,663
128,San Diego (WCC) ,31,18-13 ,460,646
132,Fort Wayne (Summit League) ,32,18-14 ,459,639
133,UNCW (CAA) ,32,11-21 ,458,664
133,Towson (CAA) ,32,18-14 ,458,667
133,TCU (Big 12) ,31,21-10 ,458,643
136,North Dakota (Big Sky) ,31,12-19 ,457,648
137,Charlotte (C-USA) ,29,6-23 ,456,637
138,Kent St. (MAC) ,32,16-16 ,455,621
139,Northern Colo. (Big Sky) ,32,21-11 ,454,647
139,Samford (SoCon) ,32,10-22 ,454,594
139,Wichita St. (AAC) ,30,24-6 ,454,618
139,Indiana St. (MVC) ,31,13-18 ,454,644
139,Austin Peay (OVC) ,32,18-14 ,454,694
144,Pepperdine (WCC) ,32,6-26 ,453,646
145,Northeastern (CAA) ,33,23-10 ,452,617
145,Northern Ill. (MAC) ,32,13-19 ,452,622
145,Drake (MVC) ,32,16-16 ,452,586
145,Iona (MAAC) ,33,20-13 ,452,612
145,Louisville (ACC) ,32,20-12 ,452,617
145,Seton Hall (Big East) ,31,21-10 ,452,655
151,Navy (Patriot) ,32,20-12 ,451,627
151,Hawaii (Big West) ,29,17-12 ,451,656
151,Florida (SEC) ,31,20-11 ,451,626
151,Arkansas St. (Sun Belt) ,32,11-21 ,451,628
155,Winthrop (Big South) ,31,19-12 ,450,623
156,Boston College (ACC) ,33,19-14 ,449,607
157,Evansville (MVC) ,32,17-15 ,448,578
157,Eastern Ky. (OVC) ,31,11-20 ,448,600
159,Weber St. (Big Sky) ,30,20-10 ,447,580
159,Oregon (Pac-12) ,32,21-11 ,447,583
161,Chattanooga (SoCon) ,33,10-23 ,445,626
162,Houston Baptist (Southland) ,31,6-25 ,443,710
163,UNC Asheville (Big South) ,33,21-12 ,442,597
163,Campbell (Big South) ,31,16-15 ,442,594
163,Siena (MAAC) ,32,8-24 ,442,652
163,Robert Morris (NEC) ,33,16-17 ,442,663
167,North Carolina (ACC) ,32,23-9 ,441,597
167,Fairfield (MAAC) ,33,17-16 ,441,621
167,UT Arlington (Sun Belt) ,31,19-12 ,441,652
170,Duquesne (Atlantic 10) ,31,16-15 ,439,642
170,Georgia Tech (ACC) ,32,13-19 ,439,616
172,Ball St. (MAC) ,31,19-12 ,438,623
173,Marist (MAAC) ,31,6-25 ,437,612
173,Illinois St. (MVC) ,33,18-15 ,437,640
175,Tennessee St. (OVC) ,30,15-15 ,436,590
175,UMKC (WAC) ,31,10-21 ,436,615
177,Penn St. (Big Ten) ,34,21-13 ,435,625
177,Saint Mary's (CA) (WCC) ,33,28-5 ,435,561
177,Saint Joseph's (Atlantic 10) ,30,15-15 ,435,636
180,Manhattan (MAAC) ,31,14-17 ,434,625
180,St. John's (NY) (Big East) ,32,16-16 ,434,588
182,North Florida (ASUN) ,33,14-19 ,433,570
183,Rice (C-USA) ,31,7-24 ,432,646
183,A&M-Corpus Christi (Southland) ,29,11-18 ,432,603
185,Baylor (Big 12) ,31,18-13 ,431,582
185,Kansas St. (Big 12) ,31,21-10 ,431,577
185,Chicago St. (WAC) ,31,3-28 ,431,600
188,Wake Forest (ACC) ,31,11-20 ,430,583
189,FIU (C-USA) ,32,14-18 ,429,704
189,UConn (AAC) ,31,14-17 ,429,574
191,Colorado (Pac-12) ,31,17-14 ,428,590
191,Delaware (CAA) ,33,14-19 ,428,657
191,Buffalo (MAC) ,31,23-8 ,428,617
194,Sam Houston St. (Southland) ,31,18-13 ,427,602
195,Tulane (AAC) ,30,14-16 ,426,596
196,Norfolk St. (MEAC) ,32,14-18 ,425,626
197,Alcorn (SWAC) ,32,11-21 ,423,598
197,Radford (Big South) ,34,22-12 ,423,585
197,Northern Ky. (Horizon) ,31,22-9 ,423,577
197,Villanova (Big East) ,31,27-4 ,423,551
197,Indiana (Big Ten) ,31,16-15 ,423,644
202,Ohio St. (Big Ten) ,32,24-8 ,422,581
202,Clemson (ACC) ,30,22-8 ,422,564
204,St. Francis Brooklyn (NEC) ,31,13-18 ,421,591
204,Utah (Pac-12) ,29,19-10 ,421,553
204,Marquette (Big East) ,31,19-12 ,421,531
204,Loyola Marymount (WCC) ,31,11-20 ,421,593
208,Charleston So. (Big South) ,31,15-16 ,420,581
208,George Mason (Atlantic 10) ,31,15-16 ,420,573
210,UCF (AAC) ,30,18-12 ,419,649
210,Texas St. (Sun Belt) ,32,15-17 ,419,633
210,Texas (Big 12) ,32,19-13 ,419,630
213,Alabama St. (SWAC) ,31,8-23 ,418,647
213,LSU (SEC) ,30,17-13 ,418,568
215,San Diego St. (MWC) ,29,19-10 ,417,580
216,Fairleigh Dickinson (NEC) ,31,13-18 ,416,573
217,Morehead St. (OVC) ,29,8-21 ,415,592
217,Utah St. (MWC) ,32,16-16 ,415,593
217,Southern Ill. (MVC) ,33,20-13 ,415,596
220,North Dakota St. (Summit League) ,32,15-17 ,414,544
221,Middle Tenn. (C-USA) ,30,24-6 ,413,557
221,High Point (Big South) ,30,14-16 ,413,588
221,UAB (C-USA) ,32,20-12 ,413,550
224,Kennesaw St. (ASUN) ,30,10-20 ,412,597
224,Southeastern La. (Southland) ,31,21-10 ,412,636
224,Ohio (MAC) ,31,14-17 ,412,579
227,SIUE (OVC) ,30,9-21 ,410,580
227,Jacksonville St. (OVC) ,33,21-12 ,410,591
227,Cornell (Ivy League) ,27,12-15 ,410,560
230,Colgate (Patriot) ,32,19-13 ,409,532
230,Jacksonville (ASUN) ,33,15-18 ,409,622
230,Southern California (Pac-12) ,31,21-10 ,409,564
230,Rutgers (Big Ten) ,34,15-19 ,409,635
234,Air Force (MWC) ,31,12-19 ,408,556
234,Wofford (SoCon) ,33,21-12 ,408,522
234,Western Caro. (SoCon) ,32,13-19 ,408,597
237,Ark.-Pine Bluff (SWAC) ,32,13-20 ,407,608
238,Longwood (Big South) ,33,7-26 ,406,591
238,Loyola Chicago (MVC) ,33,28-5 ,406,561
240,Old Dominion (C-USA) ,30,24-6 ,405,584
241,Boise St. (MWC) ,30,23-7 ,404,550
241,Wisconsin (Big Ten) ,33,15-18 ,404,578
241,Portland (WCC) ,32,10-22 ,404,596
244,Houston (AAC) ,30,24-6 ,403,565
244,UTSA (C-USA) ,32,19-13 ,403,587
244,Abilene Christian (Southland) ,31,16-15 ,403,576
244,Idaho St. (Big Sky) ,30,14-16 ,403,594
244,North Texas (C-USA) ,32,15-17 ,403,624
249,Cleveland St. (Horizon) ,35,12-23 ,402,572
249,Idaho (Big Sky) ,30,22-8 ,402,546
249,Northwestern (Big Ten) ,32,15-17 ,402,538
252,McNeese (Southland) ,28,11-17 ,401,568
252,New Hampshire (America East) ,31,10-21 ,401,544
254,Michigan (Big Ten) ,35,28-7 ,400,607
255,Texas A&M (SEC) ,31,20-11 ,399,601
256,Stony Brook (America East) ,32,13-19 ,398,606
256,DePaul (Big East) ,31,11-20 ,398,562
256,Akron (MAC) ,31,14-17 ,398,569
259,Penn (Ivy League) ,30,22-8 ,397,605
259,Loyola Maryland (Patriot) ,31,9-22 ,397,608
259,Furman (SoCon) ,33,23-10 ,397,557
259,Central Conn. St. (NEC) ,32,14-18 ,397,568
