Rank,Team,GM,W-L,BLKS
125,Ga. Southern (Sun Belt) ,31,20-11 ,115
129,Weber St. (Big Sky) ,30,20-10 ,114
129,Oregon St. (Pac-12) ,30,15-15 ,114
131,Portland St. (Big Sky) ,32,20-12 ,113
131,TCU (Big 12) ,31,21-10 ,113
131,Grambling (SWAC) ,31,17-14 ,113
131,Marquette (Big East) ,31,19-12 ,113
131,Kent St. (MAC) ,32,16-16 ,113
131,Eastern Ky. (OVC) ,31,11-20 ,113
131,Harvard (Ivy League) ,29,17-12 ,113
138,Oral Roberts (Summit League) ,32,11-21 ,112
138,Norfolk St. (MEAC) ,32,14-18 ,112
138,Jacksonville (ASUN) ,33,15-18 ,112
138,Pittsburgh (ACC) ,32,8-24 ,112
142,Seton Hall (Big East) ,31,21-10 ,111
142,Stanford (Pac-12) ,31,17-14 ,111
142,Michigan (Big Ten) ,35,28-7 ,111
142,LIU Brooklyn (NEC) ,34,18-16 ,111
142,Arizona St. (Pac-12) ,31,20-11 ,111
147,Sacramento St. (Big Sky) ,32,7-25 ,110
147,Hampton (MEAC) ,32,18-14 ,110
147,Georgetown (Big East) ,30,15-15 ,110
147,Central Mich. (MAC) ,32,19-13 ,110
151,San Francisco (WCC) ,33,18-15 ,109
151,UCF (AAC) ,30,18-12 ,109
151,UNC Asheville (Big South) ,33,21-12 ,109
151,Wake Forest (ACC) ,31,11-20 ,109
151,Western Ill. (Summit League) ,28,12-16 ,109
151,Florida A&M (MEAC) ,34,9-25 ,109
157,St. Bonaventure (Atlantic 10) ,30,24-6 ,108
157,Tennessee Tech (OVC) ,33,19-14 ,108
157,N.C. Central (MEAC) ,31,16-15 ,108
157,UC Santa Barbara (Big West) ,30,22-8 ,108
157,Vanderbilt (SEC) ,32,12-20 ,108
157,Seattle U (WAC) ,31,19-12 ,108
163,Central Conn. St. (NEC) ,32,14-18 ,107
163,Ball St. (MAC) ,31,19-12 ,107
165,Boston College (ACC) ,33,19-14 ,106
165,Colgate (Patriot) ,32,19-13 ,106
165,Charleston So. (Big South) ,31,15-16 ,106
168,Rider (MAAC) ,31,22-9 ,105
168,UT Martin (OVC) ,31,10-21 ,105
168,Valparaiso (MVC) ,32,15-17 ,105
168,Indiana St. (MVC) ,31,13-18 ,105
168,Holy Cross (Patriot) ,31,12-19 ,105
173,Rhode Island (Atlantic 10) ,29,23-6 ,104
173,Siena (MAAC) ,32,8-24 ,104
173,James Madison (CAA) ,32,10-22 ,104
173,Fort Wayne (Summit League) ,32,18-14 ,104
173,South Carolina (SEC) ,32,17-15 ,104
178,Utah (Pac-12) ,29,19-10 ,103
178,Boston U. (Patriot) ,31,15-16 ,103
