Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RBG,REB MAR
333,North Florida (ASUN) ,33,14-19 ,1159,35.1,1340,40.6,-5.5
334,Samford (SoCon) ,32,10-22 ,973,30.4,1153,36,-5.6
335,St. John's (NY) (Big East) ,32,16-16 ,1080,33.8,1263,39.5,-5.7
336,UMES (MEAC) ,32,7-25 ,1065,33.3,1260,39.4,-6.1
337,The Citadel (SoCon) ,32,11-21 ,1184,37,1381,43.2,-6.2
338,Chicago St. (WAC) ,31,3-28 ,1014,32.7,1207,38.9,-6.2
339,Pittsburgh (ACC) ,32,8-24 ,1007,31.5,1207,37.7,-6.3
340,Holy Cross (Patriot) ,31,12-19 ,880,28.4,1075,34.7,-6.3
341,American (Patriot) ,30,6-24 ,869,29,1059,35.3,-6.3
342,North Dakota (Big Sky) ,31,12-19 ,958,30.9,1161,37.5,-6.5
343,Florida A&M (MEAC) ,34,9-25 ,1094,32.2,1329,39.1,-6.9
344,Bryant (NEC) ,31,3-28 ,1000,32.3,1237,39.9,-7.6
345,Cleveland St. (Horizon) ,35,12-23 ,1066,30.5,1335,38.1,-7.7
346,Coppin St. (MEAC) ,32,5-27 ,1081,33.8,1331,41.6,-7.8
347,UMKC (WAC) ,31,10-21 ,985,31.8,1255,40.5,-8.7
348,Ark.-Pine Bluff (SWAC) ,32,13-20 ,951,29.7,1237,38.7,-8.9
348,Mt. St. Mary's (NEC) ,32,18-14 ,918,28.7,1204,37.6,-8.9
350,Savannah St. (MEAC) ,31,15-16 ,1180,38.1,1473,47.5,-9.5
351,Fordham (Atlantic 10) ,31,9-22 ,884,28.5,1193,38.5,-10
