Rank,Team,GM,W-L,3FG,3PG
111,Clemson (ACC) ,30,22-8 ,249,8.3
112,Butler (Big East) ,31,19-12 ,257,8.3
112,Southern California (Pac-12) ,31,21-10 ,257,8.3
114,Central Ark. (Southland) ,32,17-15 ,265,8.3
114,Coppin St. (MEAC) ,32,5-27 ,265,8.3
116,San Francisco (WCC) ,33,18-15 ,272,8.2
117,Yale (Ivy League) ,30,16-14 ,247,8.2
118,Wagner (NEC) ,32,23-9 ,263,8.2
119,Omaha (Summit League) ,31,9-22 ,254,8.2
119,Duquesne (Atlantic 10) ,31,16-15 ,254,8.2
121,Temple (AAC) ,30,16-14 ,245,8.2
121,LSU (SEC) ,30,17-13 ,245,8.2
121,Tulsa (AAC) ,30,19-11 ,245,8.2
124,Northern Ky. (Horizon) ,31,22-9 ,253,8.2
124,Nicholls St. (Southland) ,31,21-10 ,253,8.2
126,Hartford (America East) ,32,19-13 ,261,8.2
127,New Hampshire (America East) ,31,10-21 ,252,8.1
128,Lipscomb (ASUN) ,32,23-9 ,260,8.1
129,Howard (MEAC) ,33,10-23 ,268,8.1
130,Dayton (Atlantic 10) ,30,14-16 ,243,8.1
130,Saint Francis (PA) (NEC) ,30,18-12 ,243,8.1
132,Liberty (Big South) ,34,20-14 ,275,8.1
133,Air Force (MWC) ,31,12-19 ,250,8.1
134,Pittsburgh (ACC) ,32,8-24 ,258,8.1
135,Montana St. (Big Sky) ,32,13-19 ,257,8
136,LIU Brooklyn (NEC) ,34,18-16 ,272,8
136,Florida St. (ACC) ,31,20-11 ,248,8
136,UC Santa Barbara (Big West) ,30,22-8 ,240,8
136,Harvard (Ivy League) ,29,17-12 ,232,8
140,UNC Asheville (Big South) ,33,21-12 ,263,8
141,Northwestern (Big Ten) ,32,15-17 ,255,8
141,Portland (WCC) ,32,10-22 ,255,8
143,Arkansas (SEC) ,31,21-10 ,247,8
144,Utah Valley (WAC) ,30,21-9 ,239,8
144,American (Patriot) ,30,6-24 ,239,8
146,Bucknell (Patriot) ,34,25-9 ,269,7.9
147,Saint Peter's (MAAC) ,32,14-18 ,253,7.9
148,Miami (FL) (ACC) ,30,22-8 ,237,7.9
148,Saint Joseph's (Atlantic 10) ,30,15-15 ,237,7.9
150,NC State (ACC) ,32,21-11 ,252,7.9
150,South Ala. (Sun Belt) ,32,14-18 ,252,7.9
