Rank,Name,GM,W-L,3FG,3FGA
118,Bryant (NEC) ,31,3-28 ,259,755
118,VCU (Atlantic 10) ,31,17-14 ,259,730
121,Ga. Southern (Sun Belt) ,31,20-11 ,258,745
121,Pittsburgh (ACC) ,32,8-24 ,258,795
123,Southern California (Pac-12) ,31,21-10 ,257,679
123,Butler (Big East) ,31,19-12 ,257,713
123,Montana St. (Big Sky) ,32,13-19 ,257,731
126,Saint Mary's (CA) (WCC) ,33,28-5 ,255,631
126,Portland (WCC) ,32,10-22 ,255,665
126,Northwestern (Big Ten) ,32,15-17 ,255,720
129,Duquesne (Atlantic 10) ,31,16-15 ,254,725
129,Col. of Charleston (CAA) ,33,26-7 ,254,698
129,Omaha (Summit League) ,31,9-22 ,254,694
132,Saint Peter's (MAAC) ,32,14-18 ,253,750
132,Northern Ky. (Horizon) ,31,22-9 ,253,728
132,Nicholls St. (Southland) ,31,21-10 ,253,707
132,Vermont (America East) ,33,27-6 ,253,628
136,South Ala. (Sun Belt) ,32,14-18 ,252,779
136,New Hampshire (America East) ,31,10-21 ,252,776
136,Iowa (Big Ten) ,33,14-19 ,252,672
136,Penn St. (Big Ten) ,34,21-13 ,252,657
136,Idaho St. (Big Sky) ,30,14-16 ,252,637
136,NC State (ACC) ,32,21-11 ,252,677
142,Ole Miss (SEC) ,32,12-20 ,251,788
143,Stetson (ASUN) ,32,12-20 ,250,726
143,Air Force (MWC) ,31,12-19 ,250,755
143,North Texas (C-USA) ,32,15-17 ,250,712
146,Stony Brook (America East) ,32,13-19 ,249,757
146,Lamar University (Southland) ,32,19-13 ,249,725
146,Clemson (ACC) ,30,22-8 ,249,673
149,Florida St. (ACC) ,31,20-11 ,248,706
149,Norfolk St. (MEAC) ,32,14-18 ,248,689
151,Yale (Ivy League) ,30,16-14 ,247,734
151,Louisville (ACC) ,32,20-12 ,247,670
151,Arkansas (SEC) ,31,21-10 ,247,614
154,Loyola Chicago (MVC) ,33,28-5 ,246,618
155,Temple (AAC) ,30,16-14 ,245,711
155,LSU (SEC) ,30,17-13 ,245,695
155,Tulsa (AAC) ,30,19-11 ,245,694
158,Texas Southern (SWAC) ,32,13-19 ,244,686
158,FGCU (ASUN) ,34,23-11 ,244,672
158,ETSU (SoCon) ,34,25-9 ,244,711
158,UNCW (CAA) ,32,11-21 ,244,705
158,Ohio (MAC) ,31,14-17 ,244,661
158,Xavier (Big East) ,31,27-4 ,244,656
164,Dayton (Atlantic 10) ,30,14-16 ,243,715
164,Saint Francis (PA) (NEC) ,30,18-12 ,243,654
166,Robert Morris (NEC) ,33,16-17 ,242,729
166,Tennessee Tech (OVC) ,33,19-14 ,242,697
168,Wake Forest (ACC) ,31,11-20 ,241,644
168,Bethune-Cookman (MEAC) ,32,18-14 ,241,759
168,Bowling Green (MAC) ,32,16-16 ,241,690
168,Prairie View (SWAC) ,33,16-17 ,241,732
172,Kent St. (MAC) ,32,16-16 ,240,736
172,UC Santa Barbara (Big West) ,30,22-8 ,240,629
174,Utah Valley (WAC) ,30,21-9 ,239,617
174,Manhattan (MAAC) ,31,14-17 ,239,598
174,Ball St. (MAC) ,31,19-12 ,239,703
174,Alcorn (SWAC) ,32,11-21 ,239,697
174,American (Patriot) ,30,6-24 ,239,709
179,Saint Joseph's (Atlantic 10) ,30,15-15 ,237,719
179,Rider (MAAC) ,31,22-9 ,237,656
179,Miami (FL) (ACC) ,30,22-8 ,237,650
179,South Dakota (Summit League) ,34,26-8 ,237,651
183,NJIT (ASUN) ,30,14-16 ,236,653
183,Arkansas St. (Sun Belt) ,32,11-21 ,236,695
183,Illinois (Big Ten) ,32,14-18 ,236,705
183,Gardner-Webb (Big South) ,32,14-18 ,236,676
183,Colorado (Pac-12) ,31,17-14 ,236,652
188,Southern Utah (Big Sky) ,30,12-18 ,235,671
188,Milwaukee (Horizon) ,33,16-17 ,235,704
188,Cincinnati (AAC) ,31,27-4 ,235,640
188,Binghamton (America East) ,31,11-20 ,235,671
188,Youngstown St. (Horizon) ,32,8-24 ,235,712
193,Missouri St. (MVC) ,33,18-15 ,234,707
193,La Salle (Atlantic 10) ,32,13-19 ,234,710
193,Iowa St. (Big 12) ,31,13-18 ,234,653
193,Western Caro. (SoCon) ,32,13-19 ,234,703
197,Southern Miss. (C-USA) ,32,15-17 ,233,695
197,Wright St. (Horizon) ,34,25-9 ,233,682
197,Western Mich. (MAC) ,32,17-15 ,233,678
197,Tennessee (SEC) ,30,23-7 ,233,611
201,Santa Clara (WCC) ,31,11-20 ,232,682
201,Harvard (Ivy League) ,29,17-12 ,232,666
201,Southeastern La. (Southland) ,31,21-10 ,232,650
201,South Carolina (SEC) ,32,17-15 ,232,683
205,James Madison (CAA) ,32,10-22 ,231,695
205,Grand Canyon (WAC) ,30,20-10 ,231,702
207,Maryland (Big Ten) ,32,19-13 ,229,617
207,Jackson St. (SWAC) ,31,12-20 ,229,706
207,Boston U. (Patriot) ,31,15-16 ,229,614
207,UNI (MVC) ,32,16-16 ,229,684
211,St. Bonaventure (Atlantic 10) ,30,24-6 ,228,574
212,Texas (Big 12) ,32,19-13 ,227,724
212,Drexel (CAA) ,33,13-20 ,227,699
212,Fordham (Atlantic 10) ,31,9-22 ,227,787
215,St. John's (NY) (Big East) ,32,16-16 ,226,679
215,Eastern Ky. (OVC) ,31,11-20 ,226,638
215,Longwood (Big South) ,33,7-26 ,226,690
215,Georgetown (Big East) ,30,15-15 ,226,618
215,Nebraska (Big Ten) ,32,22-10 ,226,648
220,VMI (SoCon) ,30,9-21 ,225,704
220,Colorado St. (MWC) ,32,11-21 ,225,684
220,Maine (America East) ,32,6-26 ,225,745
223,Seton Hall (Big East) ,31,21-10 ,224,622
223,UTEP (C-USA) ,31,11-20 ,224,666
223,Kansas St. (Big 12) ,31,21-10 ,224,638
223,Eastern Ill. (OVC) ,31,12-19 ,224,627
223,Tulane (AAC) ,30,14-16 ,224,644
228,Monmouth (MAAC) ,31,11-20 ,223,574
228,Tennessee St. (OVC) ,30,15-15 ,223,665
230,Virginia (ACC) ,30,28-2 ,222,570
230,George Mason (Atlantic 10) ,31,15-16 ,222,662
230,North Dakota (Big Sky) ,31,12-19 ,222,659
233,Old Dominion (C-USA) ,30,24-6 ,221,607
234,Oral Roberts (Summit League) ,32,11-21 ,220,642
234,Siena (MAAC) ,32,8-24 ,220,600
236,San Diego St. (MWC) ,29,19-10 ,219,642
236,Houston Baptist (Southland) ,31,6-25 ,219,677
236,BYU (WCC) ,34,24-10 ,219,622
239,Coastal Caro. (Sun Belt) ,32,14-18 ,218,660
239,SFA (Southland) ,31,25-6 ,218,584
239,Minnesota (Big Ten) ,32,15-17 ,218,630
242,UAB (C-USA) ,32,20-12 ,217,625
242,Bradley (MVC) ,33,20-13 ,217,613
242,Arizona (Pac-12) ,31,24-7 ,217,565
242,Florida A&M (MEAC) ,34,9-25 ,217,616
242,New Mexico St. (WAC) ,30,25-5 ,217,679
242,Texas Tech (Big 12) ,31,23-8 ,217,603
248,Ohio St. (Big Ten) ,32,24-8 ,216,612
248,Wisconsin (Big Ten) ,33,15-18 ,216,644
250,Sam Houston St. (Southland) ,31,18-13 ,215,659
250,Southern Ill. (MVC) ,33,20-13 ,215,604
250,UMass Lowell (America East) ,30,12-18 ,215,621
250,Middle Tenn. (C-USA) ,30,24-6 ,215,592
254,Fairleigh Dickinson (NEC) ,31,13-18 ,213,623
254,IUPUI (Horizon) ,30,11-19 ,213,600
254,Valparaiso (MVC) ,32,15-17 ,213,623
254,Fresno St. (MWC) ,31,21-10 ,213,534
258,SIUE (OVC) ,30,9-21 ,212,654
259,Mississippi St. (SEC) ,31,21-10 ,211,688
259,Cornell (Ivy League) ,27,12-15 ,211,622
259,Denver (Summit League) ,30,15-15 ,211,527
259,Ill.-Chicago (Horizon) ,32,17-15 ,211,613
259,Texas St. (Sun Belt) ,32,15-17 ,211,634
259,UConn (AAC) ,31,14-17 ,211,643
265,Towson (CAA) ,32,18-14 ,210,581
265,UT Martin (OVC) ,31,10-21 ,210,650
267,Alabama St. (SWAC) ,31,8-23 ,209,638
268,Charleston So. (Big South) ,31,15-16 ,208,631
269,Abilene Christian (Southland) ,31,16-15 ,207,625
269,Washington (Pac-12) ,31,20-11 ,207,603
269,UC Irvine (Big West) ,32,16-16 ,207,612
272,Ark.-Pine Bluff (SWAC) ,32,13-20 ,206,622
272,Navy (Patriot) ,32,20-12 ,206,622
272,UMES (MEAC) ,32,7-25 ,206,725
272,Stanford (Pac-12) ,31,17-14 ,206,552
276,Texas A&M (SEC) ,31,20-11 ,205,624
276,South Carolina St. (MEAC) ,32,10-22 ,205,614
278,Morehead St. (OVC) ,29,8-21 ,204,631
279,FIU (C-USA) ,32,14-18 ,203,631
279,Holy Cross (Patriot) ,31,12-19 ,203,623
279,Providence (Big East) ,31,19-12 ,203,587
282,McNeese (Southland) ,28,11-17 ,202,581
282,Jacksonville (ASUN) ,33,15-18 ,202,601
282,Sacramento St. (Big Sky) ,32,7-25 ,202,570
285,Richmond (Atlantic 10) ,30,11-19 ,201,614
286,Dartmouth (Ivy League) ,27,7-20 ,200,557
286,Loyola Marymount (WCC) ,31,11-20 ,200,574
286,South Fla. (AAC) ,31,10-21 ,200,556
286,Little Rock (Sun Belt) ,32,7-25 ,200,623
290,Charlotte (C-USA) ,29,6-23 ,198,563
290,Eastern Mich. (MAC) ,31,20-11 ,198,597
290,Central Conn. St. (NEC) ,32,14-18 ,198,601
290,Baylor (Big 12) ,31,18-13 ,198,556
294,Alabama (SEC) ,31,17-14 ,197,610
295,UTRGV (WAC) ,31,15-16 ,196,630
295,N.C. Central (MEAC) ,31,16-15 ,196,571
295,Hawaii (Big West) ,29,17-12 ,196,592
298,UC Davis (Big West) ,30,21-9 ,195,521
299,Indiana (Big Ten) ,31,16-15 ,194,602
299,DePaul (Big East) ,31,11-20 ,194,626
301,Austin Peay (OVC) ,32,18-14 ,193,553
301,Syracuse (ACC) ,33,20-13 ,193,600
303,N.C. A&T (MEAC) ,32,19-13 ,192,651
303,Delaware St. (MEAC) ,32,4-28 ,192,591
303,Delaware (CAA) ,33,14-19 ,192,584
306,Jacksonville St. (OVC) ,33,21-12 ,191,584
306,Long Beach St. (Big West) ,32,15-17 ,191,548
308,Western Ill. (Summit League) ,28,12-16 ,188,527
308,Georgia (SEC) ,31,17-14 ,188,585
310,Brown (Ivy League) ,27,11-16 ,186,588
310,Pepperdine (WCC) ,32,6-26 ,186,542
310,CSUN (Big West) ,30,6-24 ,186,514
