Rank,Team,GM,W-L,TO
126,Duke (ACC) ,31,25-6 ,388
128,Tulsa (AAC) ,30,19-11 ,389
128,UConn (AAC) ,31,14-17 ,389
130,New Mexico (MWC) ,31,17-14 ,390
130,Hartford (America East) ,32,19-13 ,390
130,Arizona (Pac-12) ,31,24-7 ,390
130,Florida St. (ACC) ,30,20-10 ,390
130,St. Francis Brooklyn (NEC) ,31,13-18 ,390
130,Massachusetts (Atlantic 10) ,31,12-19 ,390
136,McNeese (Southland) ,28,11-17 ,391
136,Hawaii (Big West) ,29,17-12 ,391
138,TCU (Big 12) ,31,21-10 ,392
138,Portland St. (Big Sky) ,31,19-12 ,392
140,Xavier (Big East) ,31,27-4 ,393
140,UTSA (C-USA) ,31,18-13 ,393
140,BYU (WCC) ,34,24-10 ,393
140,UC Davis (Big West) ,30,21-9 ,393
144,Texas Tech (Big 12) ,31,23-8 ,394
145,Providence (Big East) ,31,19-12 ,395
145,Northern Colo. (Big Sky) ,32,21-11 ,395
147,Rutgers (Big Ten) ,34,15-19 ,396
147,Georgia (SEC) ,30,16-14 ,396
147,San Diego (WCC) ,31,18-13 ,396
150,Seton Hall (Big East) ,31,21-10 ,397
150,Mercer (SoCon) ,32,18-14 ,397
150,George Washington (Atlantic 10) ,31,14-17 ,397
150,San Francisco (WCC) ,33,18-15 ,397
154,UMKC (WAC) ,31,10-21 ,398
154,Yale (Ivy League) ,30,16-14 ,398
154,Utah St. (MWC) ,31,15-16 ,398
154,Tulane (AAC) ,30,14-16 ,398
158,NJIT (ASUN) ,30,14-16 ,399
158,Saint Louis (Atlantic 10) ,31,16-15 ,399
158,Hampton (MEAC) ,31,17-14 ,399
161,Montana St. (Big Sky) ,32,13-19 ,400
161,Eastern Mich. (MAC) ,31,20-11 ,400
161,Buffalo (MAC) ,31,23-8 ,400
164,Bryant (NEC) ,31,3-28 ,401
164,Eastern Ky. (OVC) ,31,11-20 ,401
164,Idaho (Big Sky) ,30,22-8 ,401
167,North Dakota St. (Summit League) ,32,15-17 ,402
168,Oklahoma (Big 12) ,30,18-12 ,403
168,Syracuse (ACC) ,32,20-12 ,403
168,Texas Southern (SWAC) ,32,13-19 ,403
168,Grand Canyon (WAC) ,30,20-10 ,403
168,Boise St. (MWC) ,30,23-7 ,403
168,Cal St. Fullerton (Big West) ,28,17-11 ,403
168,Army West Point (Patriot) ,30,13-17 ,403
175,Loyola Chicago (MVC) ,33,28-5 ,404
175,Loyola Marymount (WCC) ,31,11-20 ,404
175,Arkansas St. (Sun Belt) ,31,11-20 ,404
175,Oregon St. (Pac-12) ,30,15-15 ,404
175,Wofford (SoCon) ,33,21-12 ,404
175,Mississippi St. (SEC) ,31,21-10 ,404
181,UMass Lowell (America East) ,30,12-18 ,405
181,Washington St. (Pac-12) ,30,12-18 ,405
181,Towson (CAA) ,32,18-14 ,405
184,CSU Bakersfield (WAC) ,29,12-17 ,406
185,UMBC (America East) ,33,23-10 ,407
185,Wake Forest (ACC) ,31,11-20 ,407
185,Harvard (Ivy League) ,29,17-12 ,407
185,George Mason (Atlantic 10) ,31,15-16 ,407
189,North Dakota (Big Sky) ,31,12-19 ,408
189,Idaho St. (Big Sky) ,30,14-16 ,408
189,Charleston So. (Big South) ,31,15-16 ,408
189,Bowling Green (MAC) ,32,16-16 ,408
193,Omaha (Summit League) ,31,9-22 ,409
193,Drexel (CAA) ,33,13-20 ,409
193,Kennesaw St. (ASUN) ,30,10-20 ,409
193,SIUE (OVC) ,30,9-21 ,409
197,Oklahoma St. (Big 12) ,31,18-13 ,410
197,Belmont (OVC) ,33,24-9 ,410
197,Liberty (Big South) ,34,20-14 ,410
197,Baylor (Big 12) ,31,18-13 ,410
197,Lamar University (Southland) ,31,19-12 ,410
197,UAB (C-USA) ,31,19-12 ,410
203,Oral Roberts (Summit League) ,32,11-21 ,411
203,Penn St. (Big Ten) ,34,21-13 ,411
203,East Carolina (AAC) ,29,10-19 ,411
203,Georgia Tech (ACC) ,32,13-19 ,411
203,Lafayette (Patriot) ,31,10-21 ,411
203,UCF (AAC) ,30,18-12 ,411
209,Milwaukee (Horizon) ,33,16-17 ,412
209,Rider (MAAC) ,31,22-9 ,412
209,Ohio (MAC) ,31,14-17 ,412
209,Morgan St. (MEAC) ,30,12-18 ,412
213,Boston College (ACC) ,32,18-14 ,413
213,American (Patriot) ,30,6-24 ,413
215,Loyola Maryland (Patriot) ,31,9-22 ,414
215,Radford (Big South) ,34,22-12 ,414
215,UNCW (CAA) ,32,11-21 ,414
218,Ball St. (MAC) ,31,19-12 ,415
218,Sam Houston St. (Southland) ,31,18-13 ,415
220,DePaul (Big East) ,30,11-19 ,416
220,Dayton (Atlantic 10) ,30,14-16 ,416
222,UMES (MEAC) ,32,7-25 ,417
222,Texas A&M (SEC) ,31,20-11 ,417
222,Washington (Pac-12) ,31,20-11 ,417
222,UC Riverside (Big West) ,30,9-21 ,417
222,Eastern Ill. (OVC) ,31,12-19 ,417
222,Utah Valley (WAC) ,30,21-9 ,417
228,Saint Peter's (MAAC) ,32,14-18 ,418
228,Kentucky (SEC) ,31,21-10 ,418
228,Colorado St. (MWC) ,31,11-20 ,418
228,Texas St. (Sun Belt) ,31,14-17 ,418
232,Kent St. (MAC) ,32,16-16 ,419
232,Louisiana (Sun Belt) ,31,26-5 ,419
234,Southern Ill. (MVC) ,33,20-13 ,420
