Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
103,Harvard (Ivy League) ,29,17-12 ,631,212,33.6
104,Kent St. (MAC) ,32,16-16 ,692,233,33.7
105,BYU (WCC) ,34,24-10 ,724,244,33.7
106,Purdue (Big Ten) ,34,28-6 ,700,236,33.7
107,Hartford (America East) ,32,19-13 ,741,250,33.7
108,Coppin St. (MEAC) ,32,5-27 ,732,247,33.7
109,Maryland (Big Ten) ,32,19-13 ,723,244,33.7
110,St. Francis Brooklyn (NEC) ,31,13-18 ,551,186,33.8
111,Seton Hall (Big East) ,31,21-10 ,699,236,33.8
112,Idaho St. (Big Sky) ,30,14-16 ,616,208,33.8
113,Maine (America East) ,32,6-26 ,755,255,33.8
114,Drake (MVC) ,32,16-16 ,731,247,33.8
115,Evansville (MVC) ,32,17-15 ,728,246,33.8
116,Utah (Pac-12) ,29,19-10 ,648,219,33.8
117,Sacred Heart (NEC) ,31,10-21 ,719,243,33.8
118,Michigan (Big Ten) ,35,28-7 ,574,194,33.8
119,FIU (C-USA) ,32,14-18 ,709,240,33.9
119,Lipscomb (ASUN) ,32,23-9 ,709,240,33.9
121,N.C. Central (MEAC) ,31,16-15 ,694,235,33.9
121,Southern U. (SWAC) ,32,15-17 ,694,235,33.9
123,Buffalo (MAC) ,31,23-8 ,620,210,33.9
124,Central Mich. (MAC) ,32,19-13 ,794,269,33.9
125,Tulane (AAC) ,30,14-16 ,602,204,33.9
126,Nicholls St. (Southland) ,31,21-10 ,599,203,33.9
127,Iowa St. (Big 12) ,31,13-18 ,769,261,33.9
128,VMI (SoCon) ,30,9-21 ,727,247,34
129,Yale (Ivy League) ,30,16-14 ,609,207,34
130,Towson (CAA) ,32,18-14 ,703,239,34
131,Idaho (Big Sky) ,30,22-8 ,735,250,34
132,UNC Asheville (Big South) ,33,21-12 ,732,249,34
133,Saint Joseph's (Atlantic 10) ,30,15-15 ,849,289,34
