Rank,Team,GM,W-L,FT,FTA
118,Mercer (SoCon) ,32,18-14 ,489,647
118,Alabama St. (SWAC) ,31,8-23 ,418,647
118,Oregon St. (Pac-12) ,30,15-15 ,460,647
118,Northern Colo. (Big Sky) ,32,21-11 ,454,647
122,New Orleans (Southland) ,29,14-15 ,442,646
122,Pepperdine (WCC) ,32,6-26 ,453,646
122,Drexel (CAA) ,33,13-20 ,467,646
122,San Diego (WCC) ,31,18-13 ,460,646
122,Rice (C-USA) ,31,7-24 ,432,646
127,Maryland (Big Ten) ,32,19-13 ,487,645
127,Hampton (MEAC) ,31,17-14 ,505,645
127,Gonzaga (WCC) ,34,30-4 ,466,645
130,Indiana St. (MVC) ,31,13-18 ,454,644
130,Indiana (Big Ten) ,31,16-15 ,423,644
132,TCU (Big 12) ,31,21-10 ,458,643
133,Duquesne (Atlantic 10) ,31,16-15 ,439,642
134,Illinois St. (MVC) ,33,18-15 ,437,640
134,New Mexico (MWC) ,31,17-14 ,495,640
136,Utah Valley (WAC) ,30,21-9 ,473,639
136,Fort Wayne (Summit League) ,32,18-14 ,459,639
136,Central Mich. (MAC) ,32,19-13 ,514,639
139,Colorado St. (MWC) ,31,11-20 ,460,637
139,Charlotte (C-USA) ,29,6-23 ,456,637
141,Southeastern La. (Southland) ,31,21-10 ,412,636
141,Saint Joseph's (Atlantic 10) ,30,15-15 ,435,636
143,Rutgers (Big Ten) ,34,15-19 ,409,635
144,Marshall (C-USA) ,31,21-10 ,480,633
145,Vanderbilt (SEC) ,31,12-19 ,469,631
146,Incarnate Word (Southland) ,28,7-21 ,470,630
147,Navy (Patriot) ,32,20-12 ,451,627
148,Seattle U (WAC) ,31,19-12 ,466,626
148,Florida (SEC) ,31,20-11 ,451,626
148,Chattanooga (SoCon) ,33,10-23 ,445,626
148,Norfolk St. (MEAC) ,32,14-18 ,425,626
152,Manhattan (MAAC) ,31,14-17 ,434,625
152,Tennessee (SEC) ,30,23-7 ,474,625
152,Penn St. (Big Ten) ,34,21-13 ,435,625
155,Liberty (Big South) ,34,20-14 ,494,624
155,Florida A&M (MEAC) ,33,9-24 ,449,624
157,Ball St. (MAC) ,31,19-12 ,438,623
157,Winthrop (Big South) ,31,19-12 ,450,623
159,Jacksonville (ASUN) ,33,15-18 ,409,622
159,Northern Ill. (MAC) ,32,13-19 ,452,622
161,Fairfield (MAAC) ,33,17-16 ,441,621
161,West Virginia (Big 12) ,31,22-9 ,476,621
161,Detroit Mercy (Horizon) ,32,8-24 ,469,621
161,Kent St. (MAC) ,32,16-16 ,455,621
165,Wichita St. (AAC) ,30,24-6 ,454,618
166,Buffalo (MAC) ,31,23-8 ,428,617
166,Northeastern (CAA) ,33,23-10 ,452,617
168,Georgia Tech (ACC) ,32,13-19 ,439,616
168,Arkansas St. (Sun Belt) ,31,11-20 ,441,616
170,UMKC (WAC) ,31,10-21 ,436,615
171,Texas (Big 12) ,31,18-13 ,409,614
172,Iona (MAAC) ,33,20-13 ,452,612
172,Marist (MAAC) ,31,6-25 ,437,612
174,Troy (Sun Belt) ,31,15-16 ,454,611
175,Saint Francis (PA) (NEC) ,30,18-12 ,466,610
176,Ark.-Pine Bluff (SWAC) ,32,13-20 ,407,608
176,Loyola Maryland (Patriot) ,31,9-22 ,397,608
178,Michigan (Big Ten) ,35,28-7 ,400,607
178,Texas St. (Sun Belt) ,31,14-17 ,397,607
178,Oklahoma St. (Big 12) ,31,18-13 ,462,607
178,North Texas (C-USA) ,31,15-16 ,393,607
182,Stony Brook (America East) ,32,13-19 ,398,606
183,Penn (Ivy League) ,30,22-8 ,397,605
184,Louisville (ACC) ,31,19-12 ,444,602
184,Sam Houston St. (Southland) ,31,18-13 ,427,602
186,Texas A&M (SEC) ,31,20-11 ,399,601
187,Eastern Ky. (OVC) ,31,11-20 ,448,600
187,Chicago St. (WAC) ,31,3-28 ,431,600
189,UMBC (America East) ,33,23-10 ,390,599
190,Alcorn (SWAC) ,32,11-21 ,423,598
191,UNC Asheville (Big South) ,33,21-12 ,442,597
191,Kennesaw St. (ASUN) ,30,10-20 ,412,597
191,Western Caro. (SoCon) ,32,13-19 ,408,597
194,Tulane (AAC) ,30,14-16 ,426,596
194,Southern Ill. (MVC) ,33,20-13 ,415,596
194,Portland (WCC) ,32,10-22 ,404,596
197,Campbell (Big South) ,31,16-15 ,442,594
197,Samford (SoCon) ,32,10-22 ,454,594
197,Idaho St. (Big Sky) ,30,14-16 ,403,594
200,Loyola Marymount (WCC) ,31,11-20 ,421,593
201,Morehead St. (OVC) ,29,8-21 ,415,592
202,Jacksonville St. (OVC) ,33,21-12 ,410,591
202,Longwood (Big South) ,33,7-26 ,406,591
202,William & Mary (CAA) ,31,19-12 ,479,591
202,St. Francis Brooklyn (NEC) ,31,13-18 ,421,591
206,Tennessee St. (OVC) ,30,15-15 ,436,590
207,High Point (Big South) ,30,14-16 ,413,588
207,Boston College (ACC) ,32,18-14 ,433,588
207,Northwestern St. (Southland) ,29,4-25 ,359,588
210,Drake (MVC) ,32,16-16 ,452,586
211,Radford (Big South) ,34,22-12 ,423,585
212,Old Dominion (C-USA) ,30,24-6 ,405,584
213,Wake Forest (ACC) ,31,11-20 ,430,583
213,Youngstown St. (Horizon) ,32,8-24 ,371,583
215,Baylor (Big 12) ,31,18-13 ,431,582
216,Ohio St. (Big Ten) ,32,24-8 ,422,581
216,Charleston So. (Big South) ,31,15-16 ,420,581
218,Weber St. (Big Sky) ,30,20-10 ,447,580
218,SIUE (OVC) ,30,9-21 ,410,580
218,San Diego St. (MWC) ,29,19-10 ,417,580
221,NJIT (ASUN) ,30,14-16 ,396,579
221,Ohio (MAC) ,31,14-17 ,412,579
223,Evansville (MVC) ,32,17-15 ,448,578
223,Wisconsin (Big Ten) ,33,15-18 ,404,578
225,Kansas St. (Big 12) ,31,21-10 ,431,577
225,Northern Ky. (Horizon) ,31,22-9 ,423,577
227,Abilene Christian (Southland) ,31,16-15 ,403,576
228,Mississippi Val. (SWAC) ,32,4-28 ,388,575
228,Utah St. (MWC) ,31,15-16 ,402,575
230,UConn (AAC) ,31,14-17 ,429,574
231,George Mason (Atlantic 10) ,31,15-16 ,420,573
231,Notre Dame (ACC) ,31,18-13 ,432,573
231,Fairleigh Dickinson (NEC) ,31,13-18 ,416,573
234,UTSA (C-USA) ,31,18-13 ,391,572
234,Cleveland St. (Horizon) ,35,12-23 ,402,572
236,North Florida (ASUN) ,33,14-19 ,433,570
236,A&M-Corpus Christi (Southland) ,28,11-17 ,406,570
236,Colorado (Pac-12) ,30,16-14 ,410,570
239,North Carolina (ACC) ,31,22-9 ,419,569
239,Akron (MAC) ,31,14-17 ,398,569
241,Central Conn. St. (NEC) ,32,14-18 ,397,568
241,McNeese (Southland) ,28,11-17 ,401,568
241,LSU (SEC) ,30,17-13 ,418,568
244,CSU Bakersfield (WAC) ,29,12-17 ,394,567
245,Houston (AAC) ,30,24-6 ,403,565
245,Mississippi St. (SEC) ,31,21-10 ,387,565
