Rank,Team,GM,W-L,Fouls,PFPG,DQ
102,La Salle (Atlantic 10) ,32,13-19 ,547,17.1,20
105,William & Mary (CAA) ,31,19-12 ,530,17.1,9
106,Nebraska (Big Ten) ,32,22-10 ,548,17.1,9
107,Boston U. (Patriot) ,31,15-16 ,531,17.1,7
107,Florida (SEC) ,31,20-11 ,531,17.1,6
109,Rutgers (Big Ten) ,34,15-19 ,583,17.1,13
110,Quinnipiac (MAAC) ,33,12-21 ,566,17.2,15
111,Central Conn. St. (NEC) ,32,14-18 ,549,17.2,11
112,Washington St. (Pac-12) ,31,12-19 ,532,17.2,13
113,Oklahoma (Big 12) ,31,18-13 ,534,17.2,6
114,Wofford (SoCon) ,33,21-12 ,569,17.2,13
115,Campbell (Big South) ,31,16-15 ,535,17.3,10
116,Navy (Patriot) ,32,20-12 ,553,17.3,7
117,Murray St. (OVC) ,31,26-5 ,536,17.3,5
118,Iona (MAAC) ,33,20-13 ,571,17.3,10
119,Louisiana Tech (C-USA) ,32,17-15 ,554,17.3,8
120,Holy Cross (Patriot) ,31,12-19 ,537,17.3,15
120,Santa Clara (WCC) ,31,11-20 ,537,17.3,19
122,Wichita St. (AAC) ,30,24-6 ,520,17.3,5
123,North Dakota St. (Summit League) ,32,15-17 ,556,17.4,8
123,Pittsburgh (ACC) ,32,8-24 ,556,17.4,13
125,Princeton (Ivy League) ,29,13-16 ,504,17.4,5
126,Marshall (C-USA) ,31,21-10 ,539,17.4,12
127,Troy (Sun Belt) ,32,16-16 ,557,17.4,12
128,East Carolina (AAC) ,29,10-19 ,505,17.4,12
129,Winthrop (Big South) ,31,19-12 ,540,17.4,13
130,Jacksonville St. (OVC) ,33,21-12 ,575,17.4,7
130,Missouri St. (MVC) ,33,18-15 ,575,17.4,2
130,Northeastern (CAA) ,33,23-10 ,575,17.4,4
133,Ohio St. (Big Ten) ,32,24-8 ,558,17.4,15
134,Longwood (Big South) ,33,7-26 ,576,17.5,13
135,Penn (Ivy League) ,30,22-8 ,524,17.5,11
136,Eastern Ky. (OVC) ,31,11-20 ,542,17.5,7
137,Delaware St. (MEAC) ,32,4-28 ,560,17.5,7
137,Idaho St. (Big Sky) ,30,14-16 ,525,17.5,15
137,McNeese (Southland) ,28,11-17 ,490,17.5,12
137,Western Mich. (MAC) ,32,17-15 ,560,17.5,13
141,UNLV (MWC) ,32,20-12 ,562,17.6,7
142,Western Caro. (SoCon) ,32,13-19 ,563,17.6,15
142,Texas Southern (SWAC) ,32,13-19 ,563,17.6,21
144,Penn St. (Big Ten) ,34,21-13 ,599,17.6,10
145,Yale (Ivy League) ,30,16-14 ,529,17.6,10
145,Idaho (Big Sky) ,30,22-8 ,529,17.6,12
147,New Mexico St. (WAC) ,30,25-5 ,530,17.7,4
148,Marist (MAAC) ,31,6-25 ,548,17.7,12
148,Missouri (SEC) ,31,20-11 ,548,17.7,19
150,Oral Roberts (Summit League) ,32,11-21 ,566,17.7,10
151,Drexel (CAA) ,33,13-20 ,584,17.7,21
152,Georgetown (Big East) ,30,15-15 ,531,17.7,10
153,Evansville (MVC) ,32,17-15 ,568,17.8,14
153,USC Upstate (ASUN) ,32,7-25 ,568,17.8,12
153,Gardner-Webb (Big South) ,32,14-18 ,568,17.8,14
153,N.C. A&T (MEAC) ,32,19-13 ,568,17.8,8
157,Bowling Green (MAC) ,32,16-16 ,569,17.8,11
158,Weber St. (Big Sky) ,30,20-10 ,534,17.8,9
158,CSUN (Big West) ,30,6-24 ,534,17.8,15
160,Arizona (Pac-12) ,31,24-7 ,552,17.8,10
160,Providence (Big East) ,31,19-12 ,552,17.8,9
162,Niagara (MAAC) ,32,19-13 ,570,17.8,7
163,Southern Ill. (MVC) ,33,20-13 ,588,17.8,15
164,UCLA (Pac-12) ,30,20-10 ,535,17.8,11
165,Seton Hall (Big East) ,31,21-10 ,553,17.8,7
165,DePaul (Big East) ,31,11-20 ,553,17.8,15
167,Massachusetts (Atlantic 10) ,32,13-19 ,571,17.8,9
168,Cal St. Fullerton (Big West) ,28,17-11 ,500,17.9,8
169,Boise St. (MWC) ,30,23-7 ,536,17.9,5
170,Baylor (Big 12) ,31,18-13 ,554,17.9,9
171,Southeast Mo. St. (OVC) ,31,14-17 ,555,17.9,9
172,Long Beach St. (Big West) ,32,15-17 ,573,17.9,14
173,Harvard (Ivy League) ,29,17-12 ,520,17.9,11
174,UMass Lowell (America East) ,30,12-18 ,538,17.9,14
175,New Hampshire (America East) ,31,10-21 ,556,17.9,13
176,LSU (SEC) ,30,17-13 ,539,18,8
176,Tulane (AAC) ,30,14-16 ,539,18,16
178,Fla. Atlantic (C-USA) ,31,12-19 ,557,18,8
179,Pepperdine (WCC) ,32,6-26 ,575,18,10
180,Air Force (MWC) ,31,12-19 ,558,18,7
180,VMI (SoCon) ,30,9-21 ,540,18,5
180,Kennesaw St. (ASUN) ,30,10-20 ,540,18,11
180,Florida A&M (MEAC) ,34,9-25 ,612,18,14
184,Utah St. (MWC) ,32,16-16 ,577,18,11
184,Portland (WCC) ,32,10-22 ,577,18,14
186,Georgia St. (Sun Belt) ,31,21-10 ,559,18,15
187,Cornell (Ivy League) ,27,12-15 ,487,18,12
188,Michigan St. (Big Ten) ,33,29-4 ,596,18.1,13
189,Charlotte (C-USA) ,29,6-23 ,524,18.1,16
190,ETSU (SoCon) ,34,25-9 ,615,18.1,6
191,Saint Louis (Atlantic 10) ,31,16-15 ,561,18.1,14
