Rank,Team,GM,W-L,AST,APG
111,Ole Miss (SEC) ,31,12-19 ,453,14.6
113,Minnesota (Big Ten) ,32,15-17 ,467,14.6
114,UMass Lowell (America East) ,30,12-18 ,435,14.5
115,Texas Tech (Big 12) ,31,23-8 ,448,14.5
115,SFA (Southland) ,31,25-6 ,448,14.5
117,Kansas St. (Big 12) ,31,21-10 ,446,14.4
117,Oklahoma St. (Big 12) ,31,18-13 ,446,14.4
119,New Mexico St. (WAC) ,30,25-5 ,431,14.4
120,Bucknell (Patriot) ,33,24-9 ,474,14.4
121,Campbell (Big South) ,31,16-15 ,445,14.4
122,Notre Dame (ACC) ,31,18-13 ,444,14.3
123,Ball St. (MAC) ,31,19-12 ,443,14.3
123,Ohio (MAC) ,31,14-17 ,443,14.3
125,Tennessee Tech (OVC) ,33,19-14 ,471,14.3
126,LSU (SEC) ,30,17-13 ,428,14.3
126,Lehigh (Patriot) ,30,16-14 ,428,14.3
128,Louisiana Tech (C-USA) ,31,16-15 ,442,14.3
128,Rider (MAAC) ,31,22-9 ,442,14.3
130,Columbia (Ivy League) ,27,8-19 ,384,14.2
131,Boston College (ACC) ,32,18-14 ,454,14.2
132,Illinois St. (MVC) ,33,18-15 ,468,14.2
133,Weber St. (Big Sky) ,30,20-10 ,425,14.2
134,UTSA (C-USA) ,31,18-13 ,439,14.2
134,Loyola Marymount (WCC) ,31,11-20 ,439,14.2
136,Oral Roberts (Summit League) ,32,11-21 ,453,14.2
137,Middle Tenn. (C-USA) ,30,24-6 ,424,14.1
137,Arizona St. (Pac-12) ,30,20-10 ,424,14.1
139,Butler (Big East) ,31,19-12 ,438,14.1
140,Maryland (Big Ten) ,32,19-13 ,452,14.1
141,UNCG (SoCon) ,34,27-7 ,480,14.1
142,Air Force (MWC) ,30,12-18 ,423,14.1
143,Hawaii (Big West) ,29,17-12 ,408,14.1
144,St. Bonaventure (Atlantic 10) ,30,24-6 ,422,14.1
145,Navy (Patriot) ,32,20-12 ,450,14.1
146,Southern Ill. (MVC) ,33,20-13 ,464,14.1
147,La.-Monroe (Sun Belt) ,29,15-14 ,407,14
148,Indiana (Big Ten) ,31,16-15 ,435,14
149,Pepperdine (WCC) ,32,6-26 ,449,14
149,USC Upstate (ASUN) ,32,7-25 ,449,14
151,Liberty (Big South) ,34,20-14 ,476,14
152,Northwestern (Big Ten) ,32,15-17 ,447,14
152,Mt. St. Mary's (NEC) ,32,18-14 ,447,14
154,Manhattan (MAAC) ,31,14-17 ,433,14
154,Seattle U (WAC) ,31,19-12 ,433,14
156,Wake Forest (ACC) ,31,11-20 ,432,13.9
156,Lamar University (Southland) ,31,19-12 ,432,13.9
156,Houston Baptist (Southland) ,31,6-25 ,432,13.9
159,Green Bay (Horizon) ,33,13-20 ,459,13.9
160,Youngstown St. (Horizon) ,32,8-24 ,445,13.9
161,Utah St. (MWC) ,31,15-16 ,431,13.9
161,Providence (Big East) ,31,19-12 ,431,13.9
163,NJIT (ASUN) ,30,14-16 ,417,13.9
163,Saint Joseph's (Atlantic 10) ,30,15-15 ,417,13.9
165,Illinois (Big Ten) ,32,14-18 ,442,13.8
166,San Diego (WCC) ,31,18-13 ,426,13.7
167,Western Ky. (C-USA) ,31,22-9 ,425,13.7
167,Missouri (SEC) ,31,20-11 ,425,13.7
169,Penn St. (Big Ten) ,34,21-13 ,465,13.7
170,Detroit Mercy (Horizon) ,32,8-24 ,437,13.7
171,Louisville (ACC) ,31,19-12 ,423,13.6
171,Southeast Mo. St. (OVC) ,31,14-17 ,423,13.6
171,Texas St. (Sun Belt) ,31,14-17 ,423,13.6
174,Virginia (ACC) ,30,28-2 ,409,13.6
175,Nebraska (Big Ten) ,32,22-10 ,436,13.6
176,Norfolk St. (MEAC) ,32,14-18 ,435,13.6
177,Holy Cross (Patriot) ,31,12-19 ,421,13.6
177,Stanford (Pac-12) ,31,17-14 ,421,13.6
179,Iowa St. (Big 12) ,30,13-17 ,407,13.6
180,Boston U. (Patriot) ,31,15-16 ,420,13.5
181,Bradley (MVC) ,33,20-13 ,447,13.5
182,Miami (OH) (MAC) ,32,16-16 ,433,13.5
183,South Dakota St. (Summit League) ,34,28-6 ,459,13.5
184,Vermont (America East) ,33,27-6 ,445,13.5
185,George Washington (Atlantic 10) ,31,14-17 ,418,13.5
186,Saint Francis (PA) (NEC) ,30,18-12 ,404,13.5
187,Bryant (NEC) ,31,3-28 ,417,13.5
188,Wagner (NEC) ,32,23-9 ,430,13.4
189,Fordham (Atlantic 10) ,30,9-21 ,403,13.4
190,Fairleigh Dickinson (NEC) ,31,13-18 ,416,13.4
191,Miami (FL) (ACC) ,30,22-8 ,402,13.4
192,Boise St. (MWC) ,30,23-7 ,401,13.4
193,Troy (Sun Belt) ,31,15-16 ,414,13.4
194,Stony Brook (America East) ,32,13-19 ,427,13.3
194,Western Caro. (SoCon) ,32,13-19 ,427,13.3
196,Clemson (ACC) ,30,22-8 ,400,13.3
197,South Dakota (Summit League) ,34,26-8 ,453,13.3
198,Kentucky (SEC) ,31,21-10 ,413,13.3
198,Hofstra (CAA) ,31,19-12 ,413,13.3
200,Central Mich. (MAC) ,32,19-13 ,426,13.3
201,Dartmouth (Ivy League) ,27,7-20 ,359,13.3
202,Georgia St. (Sun Belt) ,31,21-10 ,412,13.3
202,Mississippi St. (SEC) ,31,21-10 ,412,13.3
